tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)O)n1.COc1ccc(C(C)=O)c(N)c1C>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	1	CC(C)c1csc(C(=O)O)n1.COc1ccc(C(C)=O)c(N)c1C>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(C(C)=O)c(N)c1C>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	2	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(C(C)=O)c(N)c1C>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)[O-])n1.COc1ccc(C(C)=O)c(N)c1C>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	3	CC(C)c1csc(C(=O)[O-])n1.COc1ccc(C(C)=O)c(N)c1C>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1	4	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C(C)=O)c(N)c1C.COc1ccc(CBr)cc1>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1	4	COc1ccc(C(C)=O)c(N)c1C.COc1ccc(CBr)cc1>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	4	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1	5	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	5	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C(C)=O)c(N)c1C.COc1ccc(CCl)cc1>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1	5	COc1ccc(C(C)=O)c(N)c1C.COc1ccc(CCl)cc1>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	C=C(OCC)[Sn](CCCC)(CCCC)CCCC.COc1ccc(Br)c(Cl)c1C>>COc1ccc(C(C)=O)c(Cl)c1C	6	C=C(OCC)[Sn](CCCC)(CCCC)CCCC.COc1ccc(Br)c(Cl)c1C>>COc1ccc(C(C)=O)c(Cl)c1C
