tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
HGCVGTDJTDDWLM-UHFFFAOYSA-N	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	1	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	1	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	1	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ICC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	2	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ICC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	2	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	2	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ClCC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	3	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ClCC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	3	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	3	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	4	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	C=C(CBr)C(=O)OC.COc1ccc(C(=O)Cl)cc1F>>C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC	4	C=C(CBr)C(=O)OC.COc1ccc(C(=O)Cl)cc1F>>C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	4	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	4	C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ICC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	5	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ICC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	C=C(CBr)C(=O)OC.COc1ccc(C(=O)Cl)cc1F>>C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC	5	C=C(CBr)C(=O)OC.COc1ccc(C(=O)Cl)cc1F>>C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	5	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	5	C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	C=C(CBr)C(=O)OC.COc1ccc(C(=O)Cl)cc1F>>C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC	6	C=C(CBr)C(=O)OC.COc1ccc(C(=O)Cl)cc1F>>C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ClCC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	6	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ClCC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	6	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	6	C=C(CC(=O)c1ccc(OC)c(F)c1)C(=O)OC>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	7	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	CC(=O)C(=O)O.COc1ccc(C(C)=O)cc1F>>COc1ccc(C(=O)CC(C)(O)C(=O)O)cc1F	7	CC(=O)C(=O)O.COc1ccc(C(C)=O)cc1F>>COc1ccc(C(=O)CC(C)(O)C(=O)O)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	7	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(C(=O)CC(C)(O)C(=O)O)cc1F>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	7	COc1ccc(C(=O)CC(C)(O)C(=O)O)cc1F>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ICC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	8	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ICC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F
