tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	1	Nc1cc(OC(F)(F)F)ccc1F.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F	2	Nc1cc(OC(F)(F)F)ccc1F.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	2	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	3	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(Cl)OC(Cl)(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F	3	Nc1cc(OC(F)(F)F)ccc1F.O=C(Cl)OC(Cl)(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C=O>>O=C(O)Nc1cc(OC(F)(F)F)ccc1F	4	Nc1cc(OC(F)(F)F)ccc1F.O=C=O>>O=C(O)Nc1cc(OC(F)(F)F)ccc1F
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C(O)Nc1cc(OC(F)(F)F)ccc1F.O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	4	O=C(O)Nc1cc(OC(F)(F)F)ccc1F.O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F	5	Nc1cc(OC(F)(F)F)ccc1F.O=C(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F
HNTGMIGBGVFOBT-UHFFFAOYSA-N	ClC(Cl)(Cl)Cl>>O=C(Cl)Cl	5	ClC(Cl)(Cl)Cl>>O=C(Cl)Cl
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	5	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1
