tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	1	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	1	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCO.Fc1cc(Cl)ncn1>>CC#CCOc1cc(F)ncn1	1	CC#CCO.Fc1cc(Cl)ncn1>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	2	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	2	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCO.Fc1cc(Br)ncn1>>CC#CCOc1cc(F)ncn1	2	CC#CCO.Fc1cc(Br)ncn1>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	3	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	3	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1	3	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C[S-].Fc1cc(Br)ncn1>>CSc1cc(F)ncn1	3	C[S-].Fc1cc(Br)ncn1>>CSc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1	3	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	4	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	4	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1	4	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	Fc1cc(Cl)ncn1>>Fc1cc(=S)[nH]cn1	4	Fc1cc(Cl)ncn1>>Fc1cc(=S)[nH]cn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1	4	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CI.Fc1cc(=S)[nH]cn1>>CSc1cc(F)ncn1	4	CI.Fc1cc(=S)[nH]cn1>>CSc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	5	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C[S-].Fc1cc(Cl)ncn1>>CSc1cc(F)ncn1	5	C[S-].Fc1cc(Cl)ncn1>>CSc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	5	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1	5	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1	5	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	6	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CSc1cc(Cl)ncn1>>CSc1cc(F)ncn1	6	CSc1cc(Cl)ncn1>>CSc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	6	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1	6	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1	6	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	7	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C#CCOc1cc(F)ncn1.CI>>CC#CCOc1cc(F)ncn1	7	C#CCOc1cc(F)ncn1.CI>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	7	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	C#CCO.Fc1cc(Cl)ncn1>>C#CCOc1cc(F)ncn1	7	C#CCO.Fc1cc(Cl)ncn1>>C#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	8	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C[S-].Fc1cc(F)ncn1>>CSc1cc(F)ncn1	8	C[S-].Fc1cc(F)ncn1>>CSc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	8	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1	8	CC#CCO.CS(=O)c1cc(F)ncn1>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1	8	CSc1cc(F)ncn1>>CS(=O)c1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	9	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C#CCOc1cc(F)ncn1.CI>>CC#CCOc1cc(F)ncn1	9	C#CCOc1cc(F)ncn1.CI>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C#CCBr.Oc1cc(F)ncn1>>C#CCOc1cc(F)ncn1	9	C#CCBr.Oc1cc(F)ncn1>>C#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	9	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	Fc1cc(OCc2ccccc2)ncn1>>Oc1cc(F)ncn1	9	Fc1cc(OCc2ccccc2)ncn1>>Oc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	Fc1cc(Cl)ncn1.OCc1ccccc1>>Fc1cc(OCc2ccccc2)ncn1	9	Fc1cc(Cl)ncn1.OCc1ccccc1>>Fc1cc(OCc2ccccc2)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1	10	CC#CCNCC.CC#CCOc1cc(F)ncn1>>CC#CCOc1cc(N(CC)CC#CC)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C#CCOc1cc(F)ncn1.CI>>CC#CCOc1cc(F)ncn1	10	C#CCOc1cc(F)ncn1.CI>>CC#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	C#CCBr.Oc1cc(F)ncn1>>C#CCOc1cc(F)ncn1	10	C#CCBr.Oc1cc(F)ncn1>>C#CCOc1cc(F)ncn1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCBr.CCN>>CC#CCNCC	10	CC#CCBr.CCN>>CC#CCNCC
HNVKXWVRLLBONM-UHFFFAOYSA-N	COc1cc(F)ncn1>>Oc1cc(F)ncn1	10	COc1cc(F)ncn1>>Oc1cc(F)ncn1
