tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@@H](O)[C@@H](N)CO.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>C[C@H]1OC(=O)N[C@H]1CO	1	C[C@@H](O)[C@@H](N)CO.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>C[C@H]1OC(=O)N[C@H]1CO
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@H]1OC(=O)N[C@H]1CO.Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1>>C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO	1	C[C@H]1OC(=O)N[C@H]1CO.Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1>>C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	Clc1cc(Cl)nc(N2CCOCC2)n1.Nc1ncc(B(O)O)c(C(F)(F)F)n1>>Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1	1	Clc1cc(Cl)nc(N2CCOCC2)n1.Nc1ncc(B(O)O)c(C(F)(F)F)n1>>Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	CC1(C)OB(c2cnc(N)nc2C(F)(F)F)OC1(C)C.Clc1cc(Cl)nc(N2CCOCC2)n1>>Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1	2	CC1(C)OB(c2cnc(N)nc2C(F)(F)F)OC1(C)C.Clc1cc(Cl)nc(N2CCOCC2)n1>>Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@@H](O)[C@@H](N)CO.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>C[C@H]1OC(=O)N[C@H]1CO	2	C[C@@H](O)[C@@H](N)CO.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>C[C@H]1OC(=O)N[C@H]1CO
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@H]1OC(=O)N[C@H]1CO.Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1>>C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO	2	C[C@H]1OC(=O)N[C@H]1CO.Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)c(C(F)(F)F)n1>>C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@H]1OC(=O)N[C@H]1CO.Clc1cc(Cl)nc(N2CCOCC2)n1>>C[C@H]1OC(=O)N(c2cc(Cl)nc(N3CCOCC3)n2)[C@H]1CO	3	C[C@H]1OC(=O)N[C@H]1CO.Clc1cc(Cl)nc(N2CCOCC2)n1>>C[C@H]1OC(=O)N(c2cc(Cl)nc(N3CCOCC3)n2)[C@H]1CO
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	CC1(C)OB(c2cnc(N)nc2C(F)(F)F)OC1(C)C.C[C@H]1OC(=O)N(c2cc(Cl)nc(N3CCOCC3)n2)[C@H]1CO>>C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO	3	CC1(C)OB(c2cnc(N)nc2C(F)(F)F)OC1(C)C.C[C@H]1OC(=O)N(c2cc(Cl)nc(N3CCOCC3)n2)[C@H]1CO>>C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@@H](O)[C@@H](N)CO.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>C[C@H]1OC(=O)N[C@H]1CO	3	C[C@@H](O)[C@@H](N)CO.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>C[C@H]1OC(=O)N[C@H]1CO
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@H]1OC(=O)N[C@H]1CO.Clc1cc(Cl)nc(N2CCOCC2)n1>>C[C@H]1OC(=O)N(c2cc(Cl)nc(N3CCOCC3)n2)[C@H]1CO	4	C[C@H]1OC(=O)N[C@H]1CO.Clc1cc(Cl)nc(N2CCOCC2)n1>>C[C@H]1OC(=O)N(c2cc(Cl)nc(N3CCOCC3)n2)[C@H]1CO
