tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
IKPNRMYDOSNVAU-QEJBIBHGSA-N	NC12CC(C(=O)O)(C1)C2.NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2	1	NC12CC(C(=O)O)(C1)C2.NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2
IKPNRMYDOSNVAU-QEJBIBHGSA-N	CCOC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1	1	CCOC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1
IKPNRMYDOSNVAU-QEJBIBHGSA-N	NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2>>NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2	1	NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2>>NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2
IKPNRMYDOSNVAU-QEJBIBHGSA-N	NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2.O=C(O)COc1ccc(Cl)cc1>>O=C(COc1ccc(Cl)cc1)NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2	1	NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2.O=C(O)COc1ccc(Cl)cc1>>O=C(COc1ccc(Cl)cc1)NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2
IKPNRMYDOSNVAU-QEJBIBHGSA-N	CCO.O=C(O)[C@H]1C[C@@H](OC(F)(F)F)C1>>CCOC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1	1	CCO.O=C(O)[C@H]1C[C@@H](OC(F)(F)F)C1>>CCOC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1
IKPNRMYDOSNVAU-QEJBIBHGSA-N	NC12CC(C(=O)O)(C1)C2.NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2	2	NC12CC(C(=O)O)(C1)C2.NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2
IKPNRMYDOSNVAU-QEJBIBHGSA-N	NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2.O=C(O)COc1ccc(Cl)cc1>>O=C(COc1ccc(Cl)cc1)NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2	2	NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2.O=C(O)COc1ccc(Cl)cc1>>O=C(COc1ccc(Cl)cc1)NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2
IKPNRMYDOSNVAU-QEJBIBHGSA-N	O=C(O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1	2	O=C(O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1
IKPNRMYDOSNVAU-QEJBIBHGSA-N	NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2>>NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2	2	NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2>>NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2
IKPNRMYDOSNVAU-QEJBIBHGSA-N	NC12CC(C(=O)O)(C1)C2.NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2	3	NC12CC(C(=O)O)(C1)C2.NNC(=O)[C@H]1C[C@@H](OC(F)(F)F)C1>>NC12CC(C(=O)NNC(=O)[C@H]3C[C@@H](OC(F)(F)F)C3)(C1)C2
