tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	1	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Br)cc1Cl.COC(=O)c1cc(F)c(O)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	1	CC(C)Oc1ncc(Br)cc1Cl.COC(=O)c1cc(F)c(O)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	2	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(B(O)O)cc1Cl.COC(=O)c1cc(F)c(O)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	2	CC(C)Oc1ncc(B(O)O)cc1Cl.COC(=O)c1cc(F)c(O)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	3	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Cl)cc1Cl.COC(=O)c1cc(F)c(O)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	3	CC(C)Oc1ncc(Cl)cc1Cl.COC(=O)c1cc(F)c(O)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	4	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl	4	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(I)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	4	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(I)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	5	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(Br)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	5	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(Br)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl	5	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	6	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl	6	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(F)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	6	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(F)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	7	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	7	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(I)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	7	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(I)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	8	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(Br)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	8	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(Br)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	8	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	9	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(F)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	9	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(F)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	9	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(N)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	10	CC(C)Oc1ncc(N)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	10	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
