tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JBLQNFBXKOAIHG-FCEWJHQRSA-N	CS(=O)(=O)n1ccc(C(=O)O)c1.c1ccc2[nH]nnc2c1>>CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1	1	CS(=O)(=O)n1ccc(C(=O)O)c1.c1ccc2[nH]nnc2c1>>CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O.C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)Nc1nc(-c2cccc(N3C[C@H](C)O[C@H](C)C3)n2)cs1	1	COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O.C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)Nc1nc(-c2cccc(N3C[C@H](C)O[C@H](C)C3)n2)cs1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	COC[C@H](N)C(=O)O.CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O	1	COC[C@H](N)C(=O)O.CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O
JBLQNFBXKOAIHG-FCEWJHQRSA-N	C[C@H]1CNC[C@@H](C)O1.Nc1nc(-c2cccc(Br)n2)cs1>>C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1	1	C[C@H]1CNC[C@@H](C)O1.Nc1nc(-c2cccc(Br)n2)cs1>>C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O.C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)Nc1nc(-c2cccc(N3C[C@H](C)O[C@H](C)C3)n2)cs1	2	COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O.C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)Nc1nc(-c2cccc(N3C[C@H](C)O[C@H](C)C3)n2)cs1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	COC[C@H](N)C(=O)OCc1ccccc1.CS(=O)(=O)n1ccc(C(=O)O)c1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)OCc1ccccc1	2	COC[C@H](N)C(=O)OCc1ccccc1.CS(=O)(=O)n1ccc(C(=O)O)c1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)OCc1ccccc1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)OCc1ccccc1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O	2	COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)OCc1ccccc1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O
JBLQNFBXKOAIHG-FCEWJHQRSA-N	C[C@H]1CNC[C@@H](C)O1.Nc1nc(-c2cccc(Br)n2)cs1>>C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1	2	C[C@H]1CNC[C@@H](C)O1.Nc1nc(-c2cccc(Br)n2)cs1>>C[C@H]1CN(c2cccc(-c3csc(N)n3)n2)C[C@@H](C)O1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	COC[C@H](N)C(=O)O.CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O	3	COC[C@H](N)C(=O)O.CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1>>COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)O
JBLQNFBXKOAIHG-FCEWJHQRSA-N	NC(N)=S.O=C(CBr)c1cccc(Cl)n1>>Nc1nc(-c2cccc(Cl)n2)cs1	3	NC(N)=S.O=C(CBr)c1cccc(Cl)n1>>Nc1nc(-c2cccc(Cl)n2)cs1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	CS(=O)(=O)n1ccc(C(=O)O)c1.c1ccc2[nH]nnc2c1>>CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1	3	CS(=O)(=O)n1ccc(C(=O)O)c1.c1ccc2[nH]nnc2c1>>CS(=O)(=O)n1ccc(C(=O)n2nnc3ccccc32)c1
