tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1	1	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(NC(=O)OC(C)(C)C)cc1Br.Nc1nccc(-c2cnccn2)n1>>Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1	1	Cc1ccc(NC(=O)OC(C)(C)C)cc1Br.Nc1nccc(-c2cnccn2)n1>>Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1>>Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1	1	Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1>>Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	CC(=O)Nc1ccc(C)c(Br)c1.Nc1nccc(-c2cnccn2)n1>>CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cnccn3)n2)c1	2	CC(=O)Nc1ccc(C)c(Br)c1.Nc1nccc(-c2cnccn2)n1>>CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cnccn3)n2)c1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1	2	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cnccn3)n2)c1>>Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1	2	CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cnccn3)n2)c1>>Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1	3	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1>>Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1	3	Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1>>Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(NC(=O)OC(C)(C)C)cc1I.Nc1nccc(-c2cnccn2)n1>>Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1	3	Cc1ccc(NC(=O)OC(C)(C)C)cc1I.Nc1nccc(-c2cnccn2)n1>>Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1nccc(-c2cnccn2)n1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1	4	Cc1ccc(N)cc1Nc1nccc(-c2cnccn2)n1.O=C(O)c1cccc(C(F)(F)F)c1>>Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1
