tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1.N#Cc1ncn(CC(=O)O)n1>>N#Cc1ncn(CC(=O)N2Cc3ccc(-c4cc(F)cnc4C(F)(F)F)cc3C2)n1	1	Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1.N#Cc1ncn(CC(=O)O)n1>>N#Cc1ncn(CC(=O)N2Cc3ccc(-c4cc(F)cnc4C(F)(F)F)cc3C2)n1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1Cc2ccc(B3OC(C)(C)C(C)(C)O3)cc2C1.Fc1cnc(C(F)(F)F)c(Br)c1>>CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1	1	CC(C)(C)OC(=O)N1Cc2ccc(B3OC(C)(C)C(C)(C)O3)cc2C1.Fc1cnc(C(F)(F)F)c(Br)c1>>CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1>>Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1	1	CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1>>Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1Cc2ccc(B(O)O)cc2C1.Fc1cnc(C(F)(F)F)c(Br)c1>>CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1	2	CC(C)(C)OC(=O)N1Cc2ccc(B(O)O)cc2C1.Fc1cnc(C(F)(F)F)c(Br)c1>>CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1.N#Cc1ncn(CC(=O)O)n1>>N#Cc1ncn(CC(=O)N2Cc3ccc(-c4cc(F)cnc4C(F)(F)F)cc3C2)n1	2	Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1.N#Cc1ncn(CC(=O)O)n1>>N#Cc1ncn(CC(=O)N2Cc3ccc(-c4cc(F)cnc4C(F)(F)F)cc3C2)n1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1>>Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1	2	CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1>>Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1.N#Cc1ncn(CC(=O)O)n1>>N#Cc1ncn(CC(=O)N2Cc3ccc(-c4cc(F)cnc4C(F)(F)F)cc3C2)n1	3	Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1.N#Cc1ncn(CC(=O)O)n1>>N#Cc1ncn(CC(=O)N2Cc3ccc(-c4cc(F)cnc4C(F)(F)F)cc3C2)n1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	Brc1ccc2c(c1)CNC2.Fc1cnc(C(F)(F)F)c(Br)c1>>Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1	3	Brc1ccc2c(c1)CNC2.Fc1cnc(C(F)(F)F)c(Br)c1>>Fc1cnc(C(F)(F)F)c(-c2ccc3c(c2)CNC3)c1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1Cc2ccc(Br)cc2C1.OB(O)c1cc(F)cnc1C(F)(F)F>>CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1	4	CC(C)(C)OC(=O)N1Cc2ccc(Br)cc2C1.OB(O)c1cc(F)cnc1C(F)(F)F>>CC(C)(C)OC(=O)N1Cc2ccc(-c3cc(F)cnc3C(F)(F)F)cc2C1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	CC(C)OB(OC(C)C)OC(C)C.Fc1cnc(C(F)(F)F)c(Br)c1>>OB(O)c1cc(F)cnc1C(F)(F)F	4	CC(C)OB(OC(C)C)OC(C)C.Fc1cnc(C(F)(F)F)c(Br)c1>>OB(O)c1cc(F)cnc1C(F)(F)F
