tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)[C@H](N)Cc1cc(C)c2[nH]ncc2c1>>COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C	1	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)[C@H](N)Cc1cc(C)c2[nH]ncc2c1>>COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12>>Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12	1	Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12>>Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12.O=C(n1ccnc1)n1ccnc1.O=c1[nH]c2ccccc2cc1C1CCNCC1>>Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12	1	Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12.O=C(n1ccnc1)n1ccnc1.O=c1[nH]c2ccccc2cc1C1CCNCC1>>Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	CN1CCC(N2CCNCC2)CC1.COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C>>Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12	1	CN1CCC(N2CCNCC2)CC1.COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C>>Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12.O=c1[nH]c2ccccc2cc1C1CCNCC1>>Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12	2	Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12.O=c1[nH]c2ccccc2cc1C1CCNCC1>>Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)[C@H](N)Cc1cc(C)c2[nH]ncc2c1>>COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C	2	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)[C@H](N)Cc1cc(C)c2[nH]ncc2c1>>COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12>>Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12	2	Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12>>Cc1cc(C[C@@H](N)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	CN1CCC(N2CCNCC2)CC1.COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C>>Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12	2	CN1CCC(N2CCNCC2)CC1.COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C>>Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)[C@H](N)Cc1cc(C)c2[nH]ncc2c1>>COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C	3	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)[C@H](N)Cc1cc(C)c2[nH]ncc2c1>>COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	C1CNCCN1.COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C>>Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCNCC2)cc2cn[nH]c12	3	C1CNCCN1.COC(=O)[C@@H](Cc1cc(C)c2[nH]ncc2c1)NC(=O)OC(C)(C)C>>Cc1cc(C[C@@H](NC(=O)OC(C)(C)C)C(=O)N2CCNCC2)cc2cn[nH]c12
