tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JSYDPBIPJQMGFS-UHFFFAOYSA-N	CC(C)(C)OC(=O)CBr.O=C1NCCC1c1ccc(F)cc1>>CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O	1	CC(C)(C)OC(=O)CBr.O=C1NCCC1c1ccc(F)cc1>>CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O
JSYDPBIPJQMGFS-UHFFFAOYSA-N	COC(=O)C(CC#N)c1ccc(F)cc1>>O=C1NCCC1c1ccc(F)cc1	1	COC(=O)C(CC#N)c1ccc(F)cc1>>O=C1NCCC1c1ccc(F)cc1
JSYDPBIPJQMGFS-UHFFFAOYSA-N	COC(=O)Cc1ccc(F)cc1.N#CCBr>>COC(=O)C(CC#N)c1ccc(F)cc1	1	COC(=O)Cc1ccc(F)cc1.N#CCBr>>COC(=O)C(CC#N)c1ccc(F)cc1
JSYDPBIPJQMGFS-UHFFFAOYSA-N	Clc1ccc2c(c1)CNCC2.O=C(O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(CN1CCC(c2ccc(F)cc2)C1=O)N1CCc2ccc(Cl)cc2C1	1	Clc1ccc2c(c1)CNCC2.O=C(O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(CN1CCC(c2ccc(F)cc2)C1=O)N1CCc2ccc(Cl)cc2C1
JSYDPBIPJQMGFS-UHFFFAOYSA-N	CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(O)CN1CCC(c2ccc(F)cc2)C1=O	1	CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(O)CN1CCC(c2ccc(F)cc2)C1=O
JSYDPBIPJQMGFS-UHFFFAOYSA-N	COC(=O)C(CC#N)c1ccc(F)cc1>>O=C1NCCC1c1ccc(F)cc1	2	COC(=O)C(CC#N)c1ccc(F)cc1>>O=C1NCCC1c1ccc(F)cc1
JSYDPBIPJQMGFS-UHFFFAOYSA-N	COC(=O)Cc1ccc(F)cc1.N#CCBr>>COC(=O)C(CC#N)c1ccc(F)cc1	2	COC(=O)Cc1ccc(F)cc1.N#CCBr>>COC(=O)C(CC#N)c1ccc(F)cc1
JSYDPBIPJQMGFS-UHFFFAOYSA-N	CC(C)(C)OC(=O)CCl.O=C1NCCC1c1ccc(F)cc1>>CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O	2	CC(C)(C)OC(=O)CCl.O=C1NCCC1c1ccc(F)cc1>>CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O
JSYDPBIPJQMGFS-UHFFFAOYSA-N	Clc1ccc2c(c1)CNCC2.O=C(O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(CN1CCC(c2ccc(F)cc2)C1=O)N1CCc2ccc(Cl)cc2C1	2	Clc1ccc2c(c1)CNCC2.O=C(O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(CN1CCC(c2ccc(F)cc2)C1=O)N1CCc2ccc(Cl)cc2C1
JSYDPBIPJQMGFS-UHFFFAOYSA-N	CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(O)CN1CCC(c2ccc(F)cc2)C1=O	2	CC(C)(C)OC(=O)CN1CCC(c2ccc(F)cc2)C1=O>>O=C(O)CN1CCC(c2ccc(F)cc2)C1=O
