tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JZVSKUKBCKURLB-VULHUXJZSA-N	COCCOCCOCCN.Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1>>COCCOCCOCCNC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1	1	COCCOCCOCCN.Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1>>COCCOCCOCCNC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1
JZVSKUKBCKURLB-VULHUXJZSA-N	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)O)CC1.N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1>>CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1	1	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)O)CC1.N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1>>CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1
JZVSKUKBCKURLB-VULHUXJZSA-N	N[C@@H](Cc1cccc(Br)c1)C(=O)O.Nc1ccc(-c2nnn[nH]2)cc1>>N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1	1	N[C@@H](Cc1cccc(Br)c1)C(=O)O.Nc1ccc(-c2nnn[nH]2)cc1>>N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1
JZVSKUKBCKURLB-VULHUXJZSA-N	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1.Cc1ccc(C(=O)O)cc1B(O)O>>Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1	1	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1.Cc1ccc(C(=O)O)cc1B(O)O>>Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1
JZVSKUKBCKURLB-VULHUXJZSA-N	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1.Cc1ccc(C(=O)O)cc1B1OC(C)(C)C(C)(C)O1>>Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1	2	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1.Cc1ccc(C(=O)O)cc1B1OC(C)(C)C(C)(C)O1>>Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1
JZVSKUKBCKURLB-VULHUXJZSA-N	COCCOCCOCCN.Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1>>COCCOCCOCCNC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1	2	COCCOCCOCCN.Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1>>COCCOCCOCCNC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1
JZVSKUKBCKURLB-VULHUXJZSA-N	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)O)CC1.N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1>>CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1	2	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)O)CC1.N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1>>CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1
JZVSKUKBCKURLB-VULHUXJZSA-N	N[C@@H](Cc1cccc(Br)c1)C(=O)O.Nc1ccc(-c2nnn[nH]2)cc1>>N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1	2	N[C@@H](Cc1cccc(Br)c1)C(=O)O.Nc1ccc(-c2nnn[nH]2)cc1>>N[C@@H](Cc1cccc(Br)c1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1
JZVSKUKBCKURLB-VULHUXJZSA-N	COCCOCCOCCN.Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1>>COCCOCCOCCNC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1	3	COCCOCCOCCN.Cc1ccc(C(=O)O)cc1-c1cccc(C[C@H](NC(=O)[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)c1>>COCCOCCOCCNC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1
JZVSKUKBCKURLB-VULHUXJZSA-N	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1.COC(=O)c1ccc(C)c(B2OC(C)(C)C(C)(C)O2)c1>>COC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1	3	CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2cccc(Br)c2)C(=O)Nc2ccc(-c3nnn[nH]3)cc2)CC1.COC(=O)c1ccc(C)c(B2OC(C)(C)C(C)(C)O2)c1>>COC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1
