tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	1	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCC=O.N#Cc1ccc(N)c([N+](=O)[O-])c1>>CCc1nc2ccc(C#N)cc2[nH]1	1	CCC=O.N#Cc1ccc(N)c([N+](=O)[O-])c1>>CCc1nc2ccc(C#N)cc2[nH]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1	1	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	[C-]#N>>[N-]=C=O	1	[C-]#N>>[N-]=C=O
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	1	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(I)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1	1	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(I)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	2	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCC(=O)O.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1	2	CCC(=O)O.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1	2	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	[C-]#N>>[N-]=C=O	2	[C-]#N>>[N-]=C=O
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	2	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(I)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1	2	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(I)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	3	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCC(=O)O.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1	3	CCC(=O)O.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1	3	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1
KEAPWCUSGPWISG-UHFFFAOYSA-N	[C-]#N>>[N-]=C=O	3	[C-]#N>>[N-]=C=O
