tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
KJDKPNUDCPAPKM-UHFFFAOYSA-N	Clc1ncnc2ccc(I)cc12.c1ccc2c(c1)CCN2>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	1	Clc1ncnc2ccc(I)cc12.c1ccc2c(c1)CCN2>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	Clc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	2	Clc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	2	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1Br.Nc1ncnc2ccc(I)cc12>>CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12	3	CC(C)(C)[Si](C)(C)OCCc1ccccc1Br.Nc1ncnc2ccc(I)cc12>>CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	3	CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	3	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)Cl.Nc1ccccc1CCO>>CC(C)(C)[Si](C)(C)OCCc1ccccc1N	4	CC(C)(C)[Si](C)(C)Cl.Nc1ccccc1CCO>>CC(C)(C)[Si](C)(C)OCCc1ccccc1N
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	4	CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1N.Clc1ncnc2ccc(I)cc12>>CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12	4	CC(C)(C)[Si](C)(C)OCCc1ccccc1N.Clc1ncnc2ccc(I)cc12>>CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	4	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	C[S-].Clc1ncnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12	5	C[S-].Clc1ncnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	5	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CSc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	5	CSc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CI.S=c1[nH]cnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12	6	CI.S=c1[nH]cnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	6	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	Clc1ncnc2ccc(I)cc12>>S=c1[nH]cnc2ccc(I)cc12	6	Clc1ncnc2ccc(I)cc12>>S=c1[nH]cnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CSc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	6	CSc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CI.S=c1[nH]cnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12	7	CI.S=c1[nH]cnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12
