tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	1	CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	1	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2	1	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2>>O=S(=O)(Cl)c1cnn2c1OCCC2	1	Brc1cnn2c1OCCC2>>O=S(=O)(Cl)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2	2	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	2	CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2.SCc1ccccc1>>c1ccc(CSc2cnn3c2OCCC3)cc1	2	Brc1cnn2c1OCCC2.SCc1ccccc1>>c1ccc(CSc2cnn3c2OCCC3)cc1
KWSGPJCQWZMUQM-UHFFFAOYSA-N	c1ccc(CSc2cnn3c2OCCC3)cc1>>O=S(=O)(Cl)c1cnn2c1OCCC2	2	c1ccc(CSc2cnn3c2OCCC3)cc1>>O=S(=O)(Cl)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	2	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2	3	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2
