tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1cnc(N)nc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	1	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1cnc(N)nc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(N=C=O)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	2	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(N=C=O)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1	2	Nc1cnc(N)nc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(N=C=O)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	3	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(N=C=O)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1>>Nc1ncc(N=C=O)cn1	3	Nc1cnc(N)nc1>>Nc1ncc(N=C=O)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	4	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Cl)Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	4	Nc1cnc(N)nc1.O=C(Cl)Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	5	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	5	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1	5	Nc1cnc(N)nc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	6	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	6	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1>>Nc1ncc(N=C=O)cn1	6	Nc1cnc(N)nc1>>Nc1ncc(N=C=O)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(N=C=O)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	7	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(N=C=O)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1	7	Nc1cnc(N)nc1.O=C(Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1	8	Nc1cnc(N)nc1.O=C(Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	8	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	8	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1>>Nc1ncc(NC(=O)Oc2ccc([N+](=O)[O-])cc2)cn1	9	Nc1cnc(N)nc1.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1>>Nc1ncc(NC(=O)Oc2ccc([N+](=O)[O-])cc2)cn1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccc([N+](=O)[O-])cc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	9	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccc([N+](=O)[O-])cc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	10	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Oc1ccccc1)Oc1ccc([N+](=O)[O-])cc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	10	Nc1cnc(N)nc1.O=C(Oc1ccccc1)Oc1ccc([N+](=O)[O-])cc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1
