tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	1	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	CC(C)(C)OC(=O)N[C@@H](CN)C(=O)O.Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	1	CC(C)(C)OC(=O)N[C@@H](CN)C(=O)O.Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	2	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O	2	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	CC(C)(C)OC(=O)N[C@@H](CN)C(=O)O.Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	2	CC(C)(C)OC(=O)N[C@@H](CN)C(=O)O.Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	3	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C	3	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	3	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1	4	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	4	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C	4	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	4	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	5	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(Cl)Oc1ccccc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccccc1	5	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(Cl)Oc1ccccc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccccc1
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	5	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O
