tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LLRICYBLVFJBJB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1(C)C.Cc1cc([N+](=O)[O-])cc(C)c1Br>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	1	CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1(C)C.Cc1cc([N+](=O)[O-])cc(C)c1Br>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Br.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	2	Cc1cc([N+](=O)[O-])cc(C)c1Br.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Br.FC(F)(F)c1ccc(I)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	3	Cc1cc([N+](=O)[O-])cc(C)c1Br.FC(F)(F)c1ccc(I)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Cl.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	4	Cc1cc([N+](=O)[O-])cc(C)c1Cl.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Br.F[B-](F)(F)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	5	Cc1cc([N+](=O)[O-])cc(C)c1Br.F[B-](F)(F)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1N.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	6	Cc1cc([N+](=O)[O-])cc(C)c1N.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Cl.FC(F)(F)c1ccc(I)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	7	Cc1cc([N+](=O)[O-])cc(C)c1Cl.FC(F)(F)c1ccc(I)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Br.FC(F)(F)c1ccc(Br)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	8	Cc1cc([N+](=O)[O-])cc(C)c1Br.FC(F)(F)c1ccc(Br)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Cl.FC(F)(F)c1ccc([Mg]Br)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	9	Cc1cc([N+](=O)[O-])cc(C)c1Cl.FC(F)(F)c1ccc([Mg]Br)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
LLRICYBLVFJBJB-UHFFFAOYSA-N	Cc1cc([N+](=O)[O-])cc(C)c1Cl.F[B-](F)(F)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1	10	Cc1cc([N+](=O)[O-])cc(C)c1Cl.F[B-](F)(F)c1ccc(C(F)(F)F)cc1>>Cc1cc([N+](=O)[O-])cc(C)c1-c1ccc(C(F)(F)F)cc1
