tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1	1	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	O=C(O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1	2	O=C(O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1	2	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1	3	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	Cl.O=C(O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1	3	Cl.O=C(O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	C=C(CC(=O)OC)C(=O)OC.NCc1ccco1>>COC(=O)C1CC(=O)N(Cc2ccco2)C1	4	C=C(CC(=O)OC)C(=O)OC.NCc1ccco1>>COC(=O)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1	4	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	COC(=O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1	4	COC(=O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1	5	Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1.O=C(Cl)C1CC(=O)N(Cc2ccco2)C1>>O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	C[Si](C)(C)C=[N+]=[N-].O=C(O)C1CC(=O)N(Cc2ccco2)C1>>COC(=O)C1CC(=O)N(Cc2ccco2)C1	5	C[Si](C)(C)C=[N+]=[N-].O=C(O)C1CC(=O)N(Cc2ccco2)C1>>COC(=O)C1CC(=O)N(Cc2ccco2)C1
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	COC(=O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1	5	COC(=O)C1CC(=O)N(Cc2ccco2)C1>>O=C(Cl)C1CC(=O)N(Cc2ccco2)C1
