tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LYPSYIWSZQVHAB-UHFFFAOYSA-N	Brc1ccc2sccc2c1.C=C(OCC)[Sn](CCCC)(CCCC)CCCC>>CC(=O)c1ccc2sccc2c1	1	Brc1ccc2sccc2c1.C=C(OCC)[Sn](CCCC)(CCCC)CCCC>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	Brc1ccc2sccc2c1.C=COCCCC>>CC(=O)c1ccc2sccc2c1	2	Brc1ccc2sccc2c1.C=COCCCC>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	3	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	3	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	O=C=O>>[C]=O	3	O=C=O>>[C]=O
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	4	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	O=CO>>[C]=O	4	O=CO>>[C]=O
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	4	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CO>>[C]=O	5	CO>>[C]=O
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	5	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	5	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	O=C([O-])[O-]>>[C]=O	6	O=C([O-])[O-]>>[C]=O
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	6	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	6	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)Cl.OB(O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1	7	CON(C)C(=O)Cl.OB(O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	7	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.O=C(O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1	8	CNOC.O=C(O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	8	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CC(=O)Cl.Ic1ccc2sccc2c1>>CC(=O)c1ccc2sccc2c1	9	CC(=O)Cl.Ic1ccc2sccc2c1>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	10	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.COC(=O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1	10	CNOC.COC(=O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1
