tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	1	C#CC.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	2	Cc1c[nH]nn1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.O=C1c2ccccc2C(=O)N1CCCl>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	3	Cc1c[nH]nn1.O=C1c2ccccc2C(=O)N1CCCl>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.Cc1ccc(S(=O)(=O)OCCN2C(=O)c3ccccc3C2=O)cc1>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	4	Cc1c[nH]nn1.Cc1ccc(S(=O)(=O)OCCN2C(=O)c3ccccc3C2=O)cc1>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.[N-]=[N+]=NCCO>>Cc1cn(CCO)nn1	5	C#CC.[N-]=[N+]=NCCO>>Cc1cn(CCO)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	5	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	6	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.OCCBr>>Cc1cn(CCO)nn1	6	C#CC.OCCBr>>Cc1cn(CCO)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.OCCBr>>Cc1cn(CCO)nn1	7	Cc1c[nH]nn1.OCCBr>>Cc1cn(CCO)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	7	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	8	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.Cc1ccc(S(=O)(=O)OCCO)cc1>>Cc1cn(CCO)nn1	8	C#CC.Cc1ccc(S(=O)(=O)OCCO)cc1>>Cc1cn(CCO)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1[nH]nnc1C=O>>Cc1[nH]nnc1C(=O)O	9	Cc1[nH]nnc1C=O>>Cc1[nH]nnc1C(=O)O
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cnn[nH]1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	9	Cc1cnn[nH]1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1[nH]nnc1C(=O)O>>Cc1cnn[nH]1	9	Cc1[nH]nnc1C(=O)O>>Cc1cnn[nH]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	COC(=O)c1nn[nH]c1C>>Cc1[nH]nnc1C(=O)O	10	COC(=O)c1nn[nH]c1C>>Cc1[nH]nnc1C(=O)O
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cnn[nH]1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	10	Cc1cnn[nH]1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1[nH]nnc1C(=O)O>>Cc1cnn[nH]1	10	Cc1[nH]nnc1C(=O)O>>Cc1cnn[nH]1
