tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
NTOVJWIULULGGI-GFCCVEGCSA-N	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	1	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Br)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	1	CCOC(=O)c1cc(Br)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	1	CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	COC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	2	COC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	2	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	COC(=O)c1cc(Cl)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>COC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	2	COC(=O)c1cc(Cl)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>COC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	3	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Cl)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	3	CCOC(=O)c1cc(Cl)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCO.O=C(O)c1cc(Cl)c2cc(Cl)ccc2n1>>CCOC(=O)c1cc(Cl)c2cc(Cl)ccc2n1	3	CCO.O=C(O)c1cc(Cl)c2cc(Cl)ccc2n1>>CCOC(=O)c1cc(Cl)c2cc(Cl)ccc2n1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	3	CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1
