tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	1	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(C(=O)O)ccc21.Fc1cccc(Cl)c1CBr>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	1	CC1(C)C(=O)Nc2cc(C(=O)O)ccc21.Fc1cccc(Cl)c1CBr>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)NC(=O)C2(C)C.Fc1cccc(Cl)c1CBr>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	2	COC(=O)c1ccc2c(c1)NC(=O)C2(C)C.Fc1cccc(Cl)c1CBr>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	2	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	2	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)NC(=O)C2(C)C.Fc1cccc(Cl)c1CCl>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	3	COC(=O)c1ccc2c(c1)NC(=O)C2(C)C.Fc1cccc(Cl)c1CCl>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	3	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	3	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	4	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21.CO.[C]=O>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	4	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21.CO.[C]=O>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21	4	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21
