tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CN)c(OC)c1.Cn1nc(Cl)nc1Cl>>COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1	1	COc1ccc(CN)c(OC)c1.Cn1nc(Cl)nc1Cl>>COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	1	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	1	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1.c1ccc(C2CNC2)cc1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	1	COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1.c1ccc(C2CNC2)cc1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CN)c(OC)c1.Cn1nc(Br)nc1N1CC(c2ccccc2)C1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	2	COc1ccc(CN)c(OC)c1.Cn1nc(Br)nc1N1CC(c2ccccc2)C1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	Clc1nc(Br)n[nH]1.c1ccc(C2CNC2)cc1>>Brc1n[nH]c(N2CC(c3ccccc3)C2)n1	2	Clc1nc(Br)n[nH]1.c1ccc(C2CNC2)cc1>>Brc1n[nH]c(N2CC(c3ccccc3)C2)n1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	Brc1n[nH]c(N2CC(c3ccccc3)C2)n1.CI>>Cn1nc(Br)nc1N1CC(c2ccccc2)C1	2	Brc1n[nH]c(N2CC(c3ccccc3)C2)n1.CI>>Cn1nc(Br)nc1N1CC(c2ccccc2)C1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	2	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	2	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	CI.COc1ccc(CNc2n[nH]c(N3CC(c4ccccc4)C3)n2)c(OC)c1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	3	CI.COc1ccc(CNc2n[nH]c(N3CC(c4ccccc4)C3)n2)c(OC)c1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	Clc1nc(Br)n[nH]1.c1ccc(C2CNC2)cc1>>Brc1n[nH]c(N2CC(c3ccccc3)C2)n1	3	Clc1nc(Br)n[nH]1.c1ccc(C2CNC2)cc1>>Brc1n[nH]c(N2CC(c3ccccc3)C2)n1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	3	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	3	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	Brc1n[nH]c(N2CC(c3ccccc3)C2)n1.COc1ccc(CN)c(OC)c1>>COc1ccc(CNc2n[nH]c(N3CC(c4ccccc4)C3)n2)c(OC)c1	3	Brc1n[nH]c(N2CC(c3ccccc3)C2)n1.COc1ccc(CN)c(OC)c1>>COc1ccc(CNc2n[nH]c(N3CC(c4ccccc4)C3)n2)c(OC)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CN)c(OC)c1.CSc1nc(N2CC(c3ccccc3)C2)n(C)n1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	4	COc1ccc(CN)c(OC)c1.CSc1nc(N2CC(c3ccccc3)C2)n(C)n1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	CSc1n[nH]c(Cl)n1.c1ccc(C2CNC2)cc1>>CSc1n[nH]c(N2CC(c3ccccc3)C2)n1	4	CSc1n[nH]c(Cl)n1.c1ccc(C2CNC2)cc1>>CSc1n[nH]c(N2CC(c3ccccc3)C2)n1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	4	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	4	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	CI.CSc1n[nH]c(N2CC(c3ccccc3)C2)n1>>CSc1nc(N2CC(c3ccccc3)C2)n(C)n1	4	CI.CSc1n[nH]c(N2CC(c3ccccc3)C2)n1>>CSc1nc(N2CC(c3ccccc3)C2)n(C)n1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CN)c(OC)c1.Cn1nc(Br)nc1N1CC(c2ccccc2)C1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	5	COc1ccc(CN)c(OC)c1.Cn1nc(Br)nc1N1CC(c2ccccc2)C1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	5	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1
