tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	1	COC(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1	1	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1	1	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(CCl)c1.Cc1cccc(B2OC(C)(C)C(C)(C)O2)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	2	COC(=O)c1cccc(CCl)c1.Cc1cccc(B2OC(C)(C)C(C)(C)O2)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1	2	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1	2	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(B(O)O)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	3	COC(=O)c1cccc(B(O)O)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1	3	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1	3	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Br)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	4	COC(=O)c1cccc(Br)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1
