tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OMISHRJQMYQPMG-UHFFFAOYSA-N	ClCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	1	ClCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	CS(=O)(=O)OCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	2	CS(=O)(=O)OCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	BrCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	3	BrCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1.O=Cc1ccccc1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	4	O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1.O=Cc1ccccc1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	ICc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	5	ICc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	BrCc1ccccc1.CC(C)(C)OC(=O)N1CCC(c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	6	BrCc1ccccc1.CC(C)(C)OC(=O)N1CCC(c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>CC(C)(C)OC(=O)N1CCC(c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1	6	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>CC(C)(C)OC(=O)N1CCC(c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C(Cl)c1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1	7	O=C(Cl)c1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	7	O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C(O)c1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1	8	O=C(O)c1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1
