tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
ONGPJYSSZQHFBU-UHFFFAOYSA-N	Cc1nc(-c2ccc(C(F)(F)F)cc2)c(Br)o1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1	1	Cc1nc(-c2ccc(C(F)(F)F)cc2)c(Br)o1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	CC(N)=O.O=C(CBr)c1ccc(C(F)(F)F)cc1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)co1	1	CC(N)=O.O=C(CBr)c1ccc(C(F)(F)F)cc1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)co1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	Cc1nc(-c2ccc(C(F)(F)F)cc2)co1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)c(Br)o1	1	Cc1nc(-c2ccc(C(F)(F)F)cc2)co1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)c(Br)o1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F	1	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F
ONGPJYSSZQHFBU-UHFFFAOYSA-N	Cc1nc(-c2ccc(C(F)(F)F)cc2)co1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1	2	Cc1nc(-c2ccc(C(F)(F)F)cc2)co1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	CC(N)=O.O=C(CBr)c1ccc(C(F)(F)F)cc1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)co1	2	CC(N)=O.O=C(CBr)c1ccc(C(F)(F)F)cc1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)co1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1	2	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F	2	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F
ONGPJYSSZQHFBU-UHFFFAOYSA-N	NC(=O)COCc1ccccc1.O=C(CBr)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1	3	NC(=O)COCc1ccccc1.O=C(CBr)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1	3	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1	3	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F	3	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F
ONGPJYSSZQHFBU-UHFFFAOYSA-N	NC(=O)COCc1ccccc1.O=C(CBr)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1	4	NC(=O)COCc1ccccc1.O=C(CBr)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>OCc1nc(-c2ccc(C(F)(F)F)cc2)co1	4	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>OCc1nc(-c2ccc(C(F)(F)F)cc2)co1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	OCc1nc(-c2ccc(C(F)(F)F)cc2)co1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1	4	OCc1nc(-c2ccc(C(F)(F)F)cc2)co1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1	4	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F	4	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1	5	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	BrCc1ccccc1.OCc1nc(Br)co1>>Brc1coc(COCc2ccccc2)n1	5	BrCc1ccccc1.OCc1nc(Br)co1>>Brc1coc(COCc2ccccc2)n1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	Brc1coc(COCc2ccccc2)n1.OB(O)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1	5	Brc1coc(COCc2ccccc2)n1.OB(O)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1	5	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F	5	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1	6	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1
