tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(=O)[nH]c(=O)[nH]1.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>>COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1	1	COc1cc(=O)[nH]c(=O)[nH]1.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>>COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1.NCc1ccccc1>>COc1cc(NCc2ccccc2)nc(=O)[nH]1	1	COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1.NCc1ccccc1>>COc1cc(NCc2ccccc2)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(Cl)nc(=O)[nH]1.C[O-]>>COc1cc(OC)[nH]c(=O)n1	1	COc1cc(Cl)nc(=O)[nH]1.C[O-]>>COc1cc(OC)[nH]c(=O)n1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(N)nc(=O)[nH]1>>COc1cc(Cl)nc(=O)[nH]1	1	COc1cc(N)nc(=O)[nH]1>>COc1cc(Cl)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(NCc2ccccc2)nc(=O)[nH]1>>COc1cc(N)nc(=O)[nH]1	1	COc1cc(NCc2ccccc2)nc(=O)[nH]1>>COc1cc(N)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(=O)[nH]c(=O)[nH]1.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>>COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1	2	COc1cc(=O)[nH]c(=O)[nH]1.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>>COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1.COc1ccc(CN)cc1>>COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1	2	COc1cc(OS(=O)(=O)C(F)(F)F)nc(=O)[nH]1.COc1ccc(CN)cc1>>COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(Cl)nc(=O)[nH]1.C[O-]>>COc1cc(OC)[nH]c(=O)n1	2	COc1cc(Cl)nc(=O)[nH]1.C[O-]>>COc1cc(OC)[nH]c(=O)n1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(N)nc(=O)[nH]1>>COc1cc(Cl)nc(=O)[nH]1	2	COc1cc(N)nc(=O)[nH]1>>COc1cc(Cl)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1>>COc1cc(N)nc(=O)[nH]1	2	COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1>>COc1cc(N)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(Cl)nc(=O)[nH]1.C[O-]>>COc1cc(OC)[nH]c(=O)n1	3	COc1cc(Cl)nc(=O)[nH]1.C[O-]>>COc1cc(OC)[nH]c(=O)n1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(N)nc(=O)[nH]1>>COc1cc(Cl)nc(=O)[nH]1	3	COc1cc(N)nc(=O)[nH]1>>COc1cc(Cl)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1>>COc1cc(N)nc(=O)[nH]1	3	COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1>>COc1cc(N)nc(=O)[nH]1
OVHHLJFHCUVHRI-UHFFFAOYSA-N	COc1cc(=O)[nH]c(=O)[nH]1.COc1ccc(CN)cc1>>COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1	3	COc1cc(=O)[nH]c(=O)[nH]1.COc1ccc(CN)cc1>>COc1ccc(CNc2cc(OC)[nH]c(=O)n2)cc1
