tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1.Cc1ccc(F)c2cc(C(=O)O)[nH]c12>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1	1	CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1.Cc1ccc(F)c2cc(C(=O)O)[nH]c12>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1	1	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1>>CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1	1	CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1>>CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1.Cc1ccc(F)c2cc(C(=O)O)[nH]c12>>CC(=O)N1CCN([C@H]2CCC[C@@H](N(C(=O)OC(C)(C)C)C(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1	2	CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1.Cc1ccc(F)c2cc(C(=O)O)[nH]c12>>CC(=O)N1CCN([C@H]2CCC[C@@H](N(C(=O)OC(C)(C)C)C(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCN([C@H]2CCC[C@@H](N(C(=O)OC(C)(C)C)C(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1	2	CC(=O)N1CCN([C@H]2CCC[C@@H](N(C(=O)OC(C)(C)C)C(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1	2	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1.CCOC(=O)c1cc2c(F)ccc(C)c2[nH]1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1	3	CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1.CCOC(=O)c1cc2c(F)ccc(C)c2[nH]1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1	3	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1>>CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1	3	CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1>>CC(=O)N1CCN([C@H]2CCC[C@@H](N)C2)CC1
PGNLXEBQMQHFNK-SJORKVTESA-N	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1	4	CC(=O)N1CCNCC1.CC(C)(C)OC(=O)N[C@@H]1CCCC(=O)C1>>CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)OC(C)(C)C)C2)CC1
