tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)Cl>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	1	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)Cl>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	1	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	2	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	2	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	3	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)[Si](C)(C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	3	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)[Si](C)(C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	4	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)N[Si](C)(C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	4	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)N[Si](C)(C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	5	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[SiH](C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	5	CC1CC(O)CC(C)(C)C1.C[SiH](C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1
