tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCN.COC(=O)CC(=O)O>>CCCCCNC(=O)CC(=O)OC	1	CCCCCN.COC(=O)CC(=O)O>>CCCCCNC(=O)CC(=O)OC
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCN.COC(=O)CC(=O)Cl>>CCCCCNC(=O)CC(=O)OC	2	CCCCCN.COC(=O)CC(=O)Cl>>CCCCCNC(=O)CC(=O)OC
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC	3	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC
QEFKKIMKJOBAES-UHFFFAOYSA-N	CC(C)(C)OC(=O)CC(=O)O.CCCCCN>>CCCCCNC(=O)CC(=O)OC(C)(C)C	3	CC(C)(C)OC(=O)CC(=O)O.CCCCCN>>CCCCCNC(=O)CC(=O)OC(C)(C)C
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)O	3	CCCCCNC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)O
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC	4	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCN.COC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)OC(C)(C)C	4	CCCCCN.COC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)OC(C)(C)C
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)O	4	CCCCCNC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)O
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC	5	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCN.CCOC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)OC(C)(C)C	5	CCCCCN.CCOC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)OC(C)(C)C
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)O	5	CCCCCNC(=O)CC(=O)OC(C)(C)C>>CCCCCNC(=O)CC(=O)O
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC	6	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)OCc1ccccc1>>CCCCCNC(=O)CC(=O)O	6	CCCCCNC(=O)CC(=O)OCc1ccccc1>>CCCCCNC(=O)CC(=O)O
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCN.O=C(O)CC(=O)OCc1ccccc1>>CCCCCNC(=O)CC(=O)OCc1ccccc1	6	CCCCCN.O=C(O)CC(=O)OCc1ccccc1>>CCCCCNC(=O)CC(=O)OCc1ccccc1
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC	7	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCN.O=C(CC(=O)Oc1ccccc1)OCc1ccccc1>>CCCCCNC(=O)CC(=O)OCc1ccccc1	7	CCCCCN.O=C(CC(=O)Oc1ccccc1)OCc1ccccc1>>CCCCCNC(=O)CC(=O)OCc1ccccc1
QEFKKIMKJOBAES-UHFFFAOYSA-N	O=C(O)CC(=O)OCc1ccccc1.Oc1ccccc1>>O=C(CC(=O)Oc1ccccc1)OCc1ccccc1	7	O=C(O)CC(=O)OCc1ccccc1.Oc1ccccc1>>O=C(CC(=O)Oc1ccccc1)OCc1ccccc1
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)OCc1ccccc1>>CCCCCNC(=O)CC(=O)O	7	CCCCCNC(=O)CC(=O)OCc1ccccc1>>CCCCCNC(=O)CC(=O)O
QEFKKIMKJOBAES-UHFFFAOYSA-N	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC	8	CCCCCNC(=O)CC(=O)O.CO>>CCCCCNC(=O)CC(=O)OC
