tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
QOUVTYNQXMDDHV-UHFFFAOYSA-N	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1	1	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	COc1ccc(I)cc1.COc1ccc(N(c2ccc(I)cc2)c2ccc(OC)cc2)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1	1	COc1ccc(I)cc1.COc1ccc(N(c2ccc(I)cc2)c2ccc(OC)cc2)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	COc1ccc(N(c2ccc(I)cc2)c2ccc(OC)cc2)cc1.COc1ccc(N)cc1.Oc1ccc(I)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1	2	COc1ccc(N(c2ccc(I)cc2)c2ccc(OC)cc2)cc1.COc1ccc(N)cc1.Oc1ccc(I)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1	2	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1	3	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(Br)cc2)c2ccc(OC)cc2)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1	3	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(Br)cc2)c2ccc(OC)cc2)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1	4	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	COc1ccc(N(c2ccc(Br)cc2)c2ccc(OC)cc2)cc1.COc1ccc(N)cc1.Oc1ccc(Br)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1	4	COc1ccc(N(c2ccc(Br)cc2)c2ccc(OC)cc2)cc1.COc1ccc(N)cc1.Oc1ccc(Br)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1	5	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	Brc1ccc(I)cc1.COc1ccc(I)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1	5	Brc1ccc(I)cc1.COc1ccc(I)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1.COc1ccc(N)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1	5	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1.COc1ccc(N)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	Brc1ccc(Br)cc1.COc1ccc(Br)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1	6	Brc1ccc(Br)cc1.COc1ccc(Br)cc1.Nc1ccc(O)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1	6	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1.COc1ccc(N)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1	6	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1.COc1ccc(N)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1	7	BrCCCBr.COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1>>COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OCCCBr)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1.COc1ccc(N)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1	7	COc1ccc(Br)cc1.COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1.COc1ccc(N)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
QOUVTYNQXMDDHV-UHFFFAOYSA-N	Brc1ccc(Br)cc1.COc1ccc(N)cc1.Oc1ccc(Br)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1	7	Brc1ccc(Br)cc1.COc1ccc(N)cc1.Oc1ccc(Br)cc1>>COc1ccc(N(c2ccc(O)cc2)c2ccc(Br)cc2)cc1
