tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	1	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	1	O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	1	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	2	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	O=C(O)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	2	O=C(O)CCCCl>>[N-]=[N+]=CC(=O)CCCCl
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	2	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	3	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	3	CN(N=O)C(N)=O>>C=[N+]=[N-]
RKYXTELYNYVQNB-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	3	C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	3	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	OC1(Cc2ccccc2)CCC1>>O=C(CCCCl)Cc1ccccc1	4	OC1(Cc2ccccc2)CCC1>>O=C(CCCCl)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Br[Mg]Cc1ccccc1.O=C1CCC1>>OC1(Cc2ccccc2)CCC1	4	Br[Mg]Cc1ccccc1.O=C1CCC1>>OC1(Cc2ccccc2)CCC1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	4	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	OC1(Cc2ccccc2)CCC1>>O=C(CCCCl)Cc1ccccc1	5	OC1(Cc2ccccc2)CCC1>>O=C(CCCCl)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cl[Mg]Cc1ccccc1.O=C1CCC1>>OC1(Cc2ccccc2)CCC1	5	Cl[Mg]Cc1ccccc1.O=C1CCC1>>OC1(Cc2ccccc2)CCC1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	5	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	6	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	6	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	6	C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	6	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	CON(C)C(=O)CCCCl.Cl[Mg]Cc1ccccc1>>O=C(CCCCl)Cc1ccccc1	7	CON(C)C(=O)CCCCl.Cl[Mg]Cc1ccccc1>>O=C(CCCCl)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	7	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1
RKYXTELYNYVQNB-UHFFFAOYSA-N	C[Si](C)(C)C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	8	C[Si](C)(C)C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl
