tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	1	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Br)c(F)c1.Nc1cc(O)ccn1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1	1	CC(C)(C)OC(=O)Nc1ccc(Br)c(F)c1.Nc1cc(O)ccn1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1	1	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1	1	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	1	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	2	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1	2	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1	2	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(O)c(F)c1.Nc1cc(Br)ccn1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1	2	CC(C)(C)OC(=O)Nc1ccc(O)c(F)c1.Nc1cc(Br)ccn1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	2	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1	3	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1	3	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	3	Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	4	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(O)c(F)c1.Nc1cc(Cl)ccn1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1	4	CC(C)(C)OC(=O)Nc1ccc(O)c(F)c1.Nc1cc(Cl)ccn1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1	4	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1	4	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	4	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	5	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1	5	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1	5	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Nc1ccc(Oc2ccnc(N)c2)c(F)c1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1	5	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Nc1ccc(Oc2ccnc(N)c2)c(F)c1>>CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	5	CC(C)(C)OC(=O)Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1cc(O)ccn1.O=[N+]([O-])c1ccc(Br)c(F)c1>>Nc1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1	6	Nc1cc(O)ccn1.O=[N+]([O-])c1ccc(Br)c(F)c1>>Nc1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1	6	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1	6	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1	6	Nc1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1.O=C(Cl)Oc1ccccc1.O=C(Cl)Oc1ccccc1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1
SDOBRKOODSJDMC-UHFFFAOYSA-N	O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	6	O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1	7	COC1CNC1.O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1>>COC1CN(C(=O)Nc2cc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccn2)C1
SDOBRKOODSJDMC-UHFFFAOYSA-N	O=C(Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1)OCc1ccccc1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1	7	O=C(Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1)OCc1ccccc1>>Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1
SDOBRKOODSJDMC-UHFFFAOYSA-N	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1	7	Nc1ccc(Oc2ccnc(N(C(=O)Oc3ccccc3)C(=O)Oc3ccccc3)c2)c(F)c1.O=C(O)C1(C(=O)Nc2ccc(F)cc2)CC1>>O=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)c1cc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1
