tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.Fc1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	1	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.Fc1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.OB(O)c1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	2	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.OB(O)c1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.O=S(=O)(Oc1ccccc1)C(F)(F)F>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	3	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.O=S(=O)(Oc1ccccc1)C(F)(F)F>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.Ic1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	4	CC(C)(C)OC(=O)N1CCNC2(CC2)C1.Ic1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	5	CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1NCCN(c2ccccc2)C12CC2>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O	5	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1NCCN(c2ccccc2)C12CC2>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	Brc1ccccc1.O=C1NCCNC12CC2>>O=C1NCCN(c2ccccc2)C12CC2	5	Brc1ccccc1.O=C1NCCNC12CC2>>O=C1NCCN(c2ccccc2)C12CC2
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	6	CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1NCCN(c2ccccc2)C12CC2>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O	6	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1NCCN(c2ccccc2)C12CC2>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1=O
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	Ic1ccccc1.O=C1NCCNC12CC2>>O=C1NCCN(c2ccccc2)C12CC2	6	Ic1ccccc1.O=C1NCCNC12CC2>>O=C1NCCN(c2ccccc2)C12CC2
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1	7	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	7	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	NC1(CO)CC1.O=CCO>>OCCNC1(CO)CC1	7	NC1(CO)CC1.O=CCO>>OCCNC1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	Clc1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1	7	Clc1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1	8	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	Ic1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1	8	Ic1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	8	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	NC1(CO)CC1.O=CCO>>OCCNC1(CO)CC1	8	NC1(CO)CC1.O=CCO>>OCCNC1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	NC1(CO)CC1.OCCBr>>OCCNC1(CO)CC1	9	NC1(CO)CC1.OCCBr>>OCCNC1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1	9	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	9	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	Clc1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1	9	Clc1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	NC1(CO)CC1.OCCBr>>OCCNC1(CO)CC1	10	NC1(CO)CC1.OCCBr>>OCCNC1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1	10	OCCN(c1ccccc1)C1(CO)CC1>>ClCCN(c1ccccc1)C1(CCl)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	Brc1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1	10	Brc1ccccc1.OCCNC1(CO)CC1>>OCCN(c1ccccc1)C1(CO)CC1
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1	10	CC(C)(C)OC(N)=O.ClCCN(c1ccccc1)C1(CCl)CC1>>CC(C)(C)OC(=O)N1CCN(c2ccccc2)C2(CC2)C1
