tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
UKBQFBRPXKGJPY-INIZCTEOSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1	1	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1	1	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1	1	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1	1	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1	2	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1	2	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(Br)c1.COB1OC(C)(C)C(C)(C)O1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1	2	CCOc1cccnc1Oc1cncc(Br)c1.COB1OC(C)(C)C(C)(C)O1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1	2	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CC(C)(O)C(C)(C)O.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1	3	CC(C)(O)C(C)(C)O.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1	3	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1	3	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1	3	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1	4	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CC(C)OB1OC(C)(C)C(C)(C)O1.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1	4	CC(C)OB1OC(C)(C)C(C)(C)O1.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1	4	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1	4	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1	5	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CC1(C)OB(c2cncc(O)c2)OC1(C)C.CCOc1cccnc1Cl>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1	5	CC1(C)OB(c2cncc(O)c2)OC1(C)C.CCOc1cccnc1Cl>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1	5	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1	5	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CC1(C)OB(c2cncc(O)c2)OC1(C)C.CCOc1cccnc1Br>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1	6	CC1(C)OB(c2cncc(O)c2)OC1(C)C.CCOc1cccnc1Br>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1	6	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1	6	CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1.COC(=O)c1cnc(Cl)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1	6	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)OC)cn2)c1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1	7	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCOc1cccnc1Oc1cncc(Br)c1>>CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOC(=O)c1cnc(Cl)nc1.CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1>>CCOC(=O)c1cnc(-c2cncc(Oc3ncccc3OCC)c2)nc1	7	CCOC(=O)c1cnc(Cl)nc1.CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1>>CCOC(=O)c1cnc(-c2cncc(Oc3ncccc3OCC)c2)nc1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOC(=O)c1cnc(-c2cncc(Oc3ncccc3OCC)c2)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1	7	CCOC(=O)c1cnc(-c2cncc(Oc3ncccc3OCC)c2)nc1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1	7	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)O)cn2)c1.N[C@H]1CCOC1>>CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1
UKBQFBRPXKGJPY-INIZCTEOSA-N	CCOC(=O)c1cnc(Cl)nc1.CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1>>CCOC(=O)c1cnc(-c2cncc(Oc3ncccc3OCC)c2)nc1	8	CCOC(=O)c1cnc(Cl)nc1.CCOc1cccnc1Oc1cncc(B2OC(C)(C)C(C)(C)O2)c1>>CCOC(=O)c1cnc(-c2cncc(Oc3ncccc3OCC)c2)nc1
