tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.CI.Oc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	1	CI.CI.Oc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	COS(=O)(=O)OC.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	2	COS(=O)(=O)OC.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	3	CI.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	CBr.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	4	CBr.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	Cn1ccc2ccc(N)cc21>>Cn1ccc2ccc(O)cc21	5	Cn1ccc2ccc(N)cc21>>Cn1ccc2ccc(O)cc21
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1	5	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.c1ccc(COc2ccc3cc[nH]c3c2)cc1>>Cn1ccc2ccc(OCc3ccccc3)cc21	6	CI.c1ccc(COc2ccc3cc[nH]c3c2)cc1>>Cn1ccc2ccc(OCc3ccccc3)cc21
VTJXLVGZNOINAD-UHFFFAOYSA-N	Cn1ccc2ccc(OCc3ccccc3)cc21>>Cn1ccc2ccc(O)cc21	6	Cn1ccc2ccc(OCc3ccccc3)cc21>>Cn1ccc2ccc(O)cc21
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1	6	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	Cn1ccc2ccc(Br)cc21>>Cn1ccc2ccc(O)cc21	7	Cn1ccc2ccc(Br)cc21>>Cn1ccc2ccc(O)cc21
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1	7	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	COC(=O)OC.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	8	COC(=O)OC.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	Cn1ccc2ccc(OCc3ccccc3)cc21>>Cn1ccc2ccc(O)cc21	9	Cn1ccc2ccc(OCc3ccccc3)cc21>>Cn1ccc2ccc(O)cc21
VTJXLVGZNOINAD-UHFFFAOYSA-N	COS(=O)(=O)OC.c1ccc(COc2ccc3cc[nH]c3c2)cc1>>Cn1ccc2ccc(OCc3ccccc3)cc21	9	COS(=O)(=O)OC.c1ccc(COc2ccc3cc[nH]c3c2)cc1>>Cn1ccc2ccc(OCc3ccccc3)cc21
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1	9	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1
VTJXLVGZNOINAD-UHFFFAOYSA-N	COC(=O)C(=O)OC.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	10	COC(=O)C(=O)OC.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1
