tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCO.Fc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	1	CCCO.Fc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCOc1ccccc1>>CCCOc1ccc(Br)cc1	2	CCCOc1ccccc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCI.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	3	CCCI.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(c2ccc([O-])cc2)OC1(C)C>>[O-]c1ccc(Br)cc1	4	CC1(C)OB(c2ccc([O-])cc2)OC1(C)C>>[O-]c1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	4	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.[O-]c1ccc(Cl)cc1>>CC1(C)OB(c2ccc([O-])cc2)OC1(C)C	4	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.[O-]c1ccc(Cl)cc1>>CC1(C)OB(c2ccc([O-])cc2)OC1(C)C
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCBr.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	5	CCCBr.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.[O-]c1ccccc1>>CC1(C)OB(c2ccc([O-])cc2)OC1(C)C	6	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.[O-]c1ccccc1>>CC1(C)OB(c2ccc([O-])cc2)OC1(C)C
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(c2ccc([O-])cc2)OC1(C)C>>[O-]c1ccc(Br)cc1	6	CC1(C)OB(c2ccc([O-])cc2)OC1(C)C>>[O-]c1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	6	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCO.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	7	CCCO.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	Brc1ccc(I)cc1.CCCO>>CCCOc1ccc(Br)cc1	8	Brc1ccc(I)cc1.CCCO>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCCl.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	9	CCCCl.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CO.O=[PH2][O-]>>CO[PH](=O)[O-]	10	CO.O=[PH2][O-]>>CO[PH](=O)[O-]
VVPARGBRVKRZJC-UHFFFAOYSA-N	COP(=O)([O-])Oc1ccc(Br)cc1>>[O-]c1ccc(Br)cc1	10	COP(=O)([O-])Oc1ccc(Br)cc1>>[O-]c1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CO[PH](=O)[O-].Oc1ccc(Br)cc1>>COP(=O)([O-])Oc1ccc(Br)cc1	10	CO[PH](=O)[O-].Oc1ccc(Br)cc1>>COP(=O)([O-])Oc1ccc(Br)cc1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	10	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1
