tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.O=C(O)c1cccc(Br)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	1	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.O=C(O)c1cccc(Br)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.O=C(O)c1cccc(Cl)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	2	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.O=C(O)c1cccc(Cl)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)COB(c2ccc(F)cc2)OC1.O=C(O)c1cccc(Br)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	3	CC1(C)COB(c2ccc(F)cc2)OC1.O=C(O)c1cccc(Br)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	O=C(O)c1cccc(Br)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	4	O=C(O)c1cccc(Br)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	COC(=O)c1cccc(Br)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	5	COC(=O)c1cccc(Br)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	O=C(O)c1cccc(Cl)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	6	O=C(O)c1cccc(Cl)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	COC(=O)c1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	7	COC(=O)c1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	8	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.Cc1cccc(Br)n1>>Cc1cccc(-c2ccc(F)cc2)n1	8	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.Cc1cccc(Br)n1>>Cc1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	9	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.Cc1cccc(Cl)n1>>Cc1cccc(-c2ccc(F)cc2)n1	9	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.Cc1cccc(Cl)n1>>Cc1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	10	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(B2OC(C)(C)C(C)(C)O2)n1.Fc1ccc(Br)cc1>>Cc1cccc(-c2ccc(F)cc2)n1	10	Cc1cccc(B2OC(C)(C)C(C)(C)O2)n1.Fc1ccc(Br)cc1>>Cc1cccc(-c2ccc(F)cc2)n1
