tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
WKMACJQHHVRNIY-UHFFFAOYSA-N	Clc1c(Br)ccc2[nH]ccc12>>O=C1Cc2c(ccc(Br)c2Cl)N1	1	Clc1c(Br)ccc2[nH]ccc12>>O=C1Cc2c(ccc(Br)c2Cl)N1
WKMACJQHHVRNIY-UHFFFAOYSA-N	CI.O=C1Cc2c(ccc(Br)c2Cl)N1>>CN1C(=O)Cc2c1ccc(Br)c2Cl	1	CI.O=C1Cc2c(ccc(Br)c2Cl)N1>>CN1C(=O)Cc2c1ccc(Br)c2Cl
WKMACJQHHVRNIY-UHFFFAOYSA-N	Nc1ccc2c(c1Cl)CC(=O)N2>>O=C1Cc2c(ccc(Br)c2Cl)N1	2	Nc1ccc2c(c1Cl)CC(=O)N2>>O=C1Cc2c(ccc(Br)c2Cl)N1
WKMACJQHHVRNIY-UHFFFAOYSA-N	O=C1Cc2c(Cl)cccc2N1>>O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1	2	O=C1Cc2c(Cl)cccc2N1>>O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1
WKMACJQHHVRNIY-UHFFFAOYSA-N	O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1>>Nc1ccc2c(c1Cl)CC(=O)N2	2	O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1>>Nc1ccc2c(c1Cl)CC(=O)N2
WKMACJQHHVRNIY-UHFFFAOYSA-N	CI.O=C1Cc2c(ccc(Br)c2Cl)N1>>CN1C(=O)Cc2c1ccc(Br)c2Cl	2	CI.O=C1Cc2c(ccc(Br)c2Cl)N1>>CN1C(=O)Cc2c1ccc(Br)c2Cl
WKMACJQHHVRNIY-UHFFFAOYSA-N	CN1C(=O)Cc2c(Cl)cccc21>>CN1C(=O)Cc2c1ccc(Br)c2Cl	3	CN1C(=O)Cc2c(Cl)cccc21>>CN1C(=O)Cc2c1ccc(Br)c2Cl
WKMACJQHHVRNIY-UHFFFAOYSA-N	O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1>>Nc1ccc2c(c1Cl)CC(=O)N2	4	O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1>>Nc1ccc2c(c1Cl)CC(=O)N2
WKMACJQHHVRNIY-UHFFFAOYSA-N	O=C1Cc2c(Cl)cccc2N1>>O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1	4	O=C1Cc2c(Cl)cccc2N1>>O=C1Cc2c(ccc([N+](=O)[O-])c2Cl)N1
WKMACJQHHVRNIY-UHFFFAOYSA-N	CN1C(=O)Cc2c1ccc(N)c2Cl>>CN1C(=O)Cc2c1ccc(Br)c2Cl	4	CN1C(=O)Cc2c1ccc(N)c2Cl>>CN1C(=O)Cc2c1ccc(Br)c2Cl
WKMACJQHHVRNIY-UHFFFAOYSA-N	CI.Nc1ccc2c(c1Cl)CC(=O)N2>>CN1C(=O)Cc2c1ccc(N)c2Cl	4	CI.Nc1ccc2c(c1Cl)CC(=O)N2>>CN1C(=O)Cc2c1ccc(N)c2Cl
WKMACJQHHVRNIY-UHFFFAOYSA-N	CN1C(=O)Cc2c(Cl)cccc21>>CN1C(=O)Cc2c1ccc([N+](=O)[O-])c2Cl	5	CN1C(=O)Cc2c(Cl)cccc21>>CN1C(=O)Cc2c1ccc([N+](=O)[O-])c2Cl
WKMACJQHHVRNIY-UHFFFAOYSA-N	CN1C(=O)Cc2c1ccc(N)c2Cl>>CN1C(=O)Cc2c1ccc(Br)c2Cl	5	CN1C(=O)Cc2c1ccc(N)c2Cl>>CN1C(=O)Cc2c1ccc(Br)c2Cl
