tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
WNSQJVPADMGXTG-URLMMPGGSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1>>CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1	1	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1>>CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1
WNSQJVPADMGXTG-URLMMPGGSA-N	CC(C)(C)[Si](C)(C)O[C@H]1CCNC1.O[C@H](CBr)c1cccc(Br)c1>>CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1	1	CC(C)(C)[Si](C)(C)O[C@H]1CCNC1.O[C@H](CBr)c1cccc(Br)c1>>CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1
WNSQJVPADMGXTG-URLMMPGGSA-N	CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1.O=C(Cl)OCc1ccccc1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1	1	CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1.O=C(Cl)OCc1ccccc1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1
WNSQJVPADMGXTG-URLMMPGGSA-N	CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1.CN>>CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1	1	CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1.CN>>CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1
WNSQJVPADMGXTG-URLMMPGGSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1	2	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1
WNSQJVPADMGXTG-URLMMPGGSA-N	CC(C)(C)[Si](C)(C)O[C@H]1CCNC1.O[C@H](CBr)c1cccc(Br)c1>>CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1	2	CC(C)(C)[Si](C)(C)O[C@H]1CCNC1.O[C@H](CBr)c1cccc(Br)c1>>CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1
WNSQJVPADMGXTG-URLMMPGGSA-N	CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1.O=C(Cl)OCc1ccccc1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1	2	CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1.O=C(Cl)OCc1ccccc1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1
WNSQJVPADMGXTG-URLMMPGGSA-N	CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1.CN>>CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1	2	CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1.CN>>CN[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1
WNSQJVPADMGXTG-URLMMPGGSA-N	CC(C)(C)[Si](C)(C)O[C@H]1CCNC1.O[C@H](CBr)c1cccc(Br)c1>>CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1	3	CC(C)(C)[Si](C)(C)O[C@H]1CCNC1.O[C@H](CBr)c1cccc(Br)c1>>CC(C)(C)[Si](C)(C)O[C@H]1CCN(C[C@@H](O)c2cccc(Br)c2)C1
WNSQJVPADMGXTG-URLMMPGGSA-N	CC1(C)OBOC1(C)C.CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1	3	CC1(C)OBOC1(C)C.CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(Br)c1>>CN(C(=O)OCc1ccccc1)[C@H](CN1CC[C@H](O[Si](C)(C)C(C)(C)C)C1)c1cccc(B2OC(C)(C)C(C)(C)O2)c1
