tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F.NC(=O)c1cc(N)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	1	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F.NC(=O)c1cc(N)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F	2	CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)Cl.COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F>>CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC	2	CCOC(=O)Cl.COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F>>CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F.NC(=O)c1cc(Br)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	2	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F.NC(=O)c1cc(Br)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	3	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F	3	CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)c1cc(N)ccn1.COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F>>CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1	3	CCOC(=O)c1cc(N)ccn1.COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F>>CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F	4	CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	4	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F	4	CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F
