tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CC(=O)Cl.CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O	1	CC(=O)Cl.CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O	1	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CCCc1c(CCl)ccc(C(C)=O)c1O.COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1>>CCCc1c(CSc2nnc(NC(=O)CC(=O)OCc3ccc(OC)cc3)s2)ccc(C(C)=O)c1O	1	CCCc1c(CCl)ccc(C(C)=O)c1O.COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1>>CCCc1c(CSc2nnc(NC(=O)CC(=O)OCc3ccc(OC)cc3)s2)ccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CC1(C)OC(=O)CC(=O)O1.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1	1	CC1(C)OC(=O)CC(=O)O1.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1
YKAKSKHYOAHFDB-UHFFFAOYSA-N	COc1ccc(COC(=O)CC(=O)O)cc1.Nc1nnc(S)s1>>COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1	1	COc1ccc(COC(=O)CC(=O)O)cc1.Nc1nnc(S)s1>>COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1
YKAKSKHYOAHFDB-UHFFFAOYSA-N	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O	2	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O	2	CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CCCc1c(CCl)ccc(C(C)=O)c1O.COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1>>CCCc1c(CSc2nnc(NC(=O)CC(=O)OCc3ccc(OC)cc3)s2)ccc(C(C)=O)c1O	2	CCCc1c(CCl)ccc(C(C)=O)c1O.COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1>>CCCc1c(CSc2nnc(NC(=O)CC(=O)OCc3ccc(OC)cc3)s2)ccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CC1(C)OC(=O)CC(=O)O1.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1	2	CC1(C)OC(=O)CC(=O)O1.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1
YKAKSKHYOAHFDB-UHFFFAOYSA-N	COc1ccc(COC(=O)CC(=O)O)cc1.Nc1nnc(S)s1>>COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1	2	COc1ccc(COC(=O)CC(=O)O)cc1.Nc1nnc(S)s1>>COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CC(=O)Cl.CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O	3	CC(=O)Cl.CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O	3	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O
YKAKSKHYOAHFDB-UHFFFAOYSA-N	COC(=O)CC(=O)O.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1	3	COC(=O)CC(=O)O.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1
