tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=Cc1ccc(COc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1	1	O=Cc1ccc(COc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1	1	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1	1	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(F)cccc3C2=O)C(=O)N1.O=Cc1ccc(CO)cc1>>O=Cc1ccc(COc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)cc1	1	O=C1CC[C@H](N2Cc3c(F)cccc3C2=O)C(=O)N1.O=Cc1ccc(CO)cc1>>O=Cc1ccc(COc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)cc1
YTINZZFBHWSAGL-NDEPHWFRSA-N	Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O>>O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1	2	Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O>>O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1	2	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1	2	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1.OCc1ccc(CCl)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1	2	O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1.OCc1ccc(CCl)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O>>O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1	3	Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O>>O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1.OCc1ccc(CBr)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1	3	O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1.OCc1ccc(CBr)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1	3	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1
YTINZZFBHWSAGL-NDEPHWFRSA-N	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1	3	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1
