tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)Oc1ccc(I)cc1.O=C=O>>CC(C)Oc1ccc(C(=O)O)cc1	1	CC(C)Oc1ccc(I)cc1.O=C=O>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)Oc1ccc(Br)cc1.O=C=O>>CC(C)Oc1ccc(C(=O)O)cc1	2	CC(C)Oc1ccc(Br)cc1.O=C=O>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)I.O=C(O)c1ccc(O)cc1>>CC(C)Oc1ccc(C(=O)O)cc1	3	CC(C)I.O=C(O)c1ccc(O)cc1>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	COC(=O)c1ccc(OC(C)C)cc1>>CC(C)Oc1ccc(C(=O)O)cc1	4	COC(=O)c1ccc(OC(C)C)cc1>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	C=Cc1ccc(OC(C)C)cc1>>CC(C)Oc1ccc(C(=O)O)cc1	5	C=Cc1ccc(OC(C)C)cc1>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)Oc1ccc(C(=O)OC(C)(C)C)cc1>>CC(C)Oc1ccc(C(=O)O)cc1	6	CC(C)Oc1ccc(C(=O)OC(C)(C)C)cc1>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)Oc1ccc(C(=O)Cl)cc1>>CC(C)Oc1ccc(C(=O)O)cc1	7	CC(C)Oc1ccc(C(=O)Cl)cc1>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)Oc1ccc(Br)cc1.[C]=O>>CC(C)Oc1ccc(C(=O)O)cc1	8	CC(C)Oc1ccc(Br)cc1.[C]=O>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	O=C=O>>[C]=O	8	O=C=O>>[C]=O
ZVERWTXKKWSSHH-UHFFFAOYSA-N	O=CO>>[C]=O	9	O=CO>>[C]=O
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)Oc1ccc(Br)cc1.[C]=O>>CC(C)Oc1ccc(C(=O)O)cc1	9	CC(C)Oc1ccc(Br)cc1.[C]=O>>CC(C)Oc1ccc(C(=O)O)cc1
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CO>>[C]=O	10	CO>>[C]=O
ZVERWTXKKWSSHH-UHFFFAOYSA-N	CC(C)Oc1ccc(Br)cc1.[C]=O>>CC(C)Oc1ccc(C(=O)O)cc1	10	CC(C)Oc1ccc(Br)cc1.[C]=O>>CC(C)Oc1ccc(C(=O)O)cc1
