tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DBQFEMRSLALWEZ-UHFFFAOYSA-N	Cl[C:2]1[N:7]=[C:6]([NH:8][C:9]([C:11]2([C:14]3[CH:24]=[CH:23][C:17]4[O:18][C:19]([F:22])([F:21])[O:20][C:16]=4[CH:15]=3)[CH2:13][CH2:12]2)=[O:10])[CH:5]=[C:4]([CH3:25])[C:3]=1[CH3:26].[CH3:27][O:28][C:29]1[CH:34]=[C:33](B(O)O)[CH:32]=[CH:31][N:30]=1>C1C=CC([P]([Pd]([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)[P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)=CC=1.[Na+].[Na+].C([O-])([O-])=O.COCCOC>[F:21][C:19]1([F:22])[O:18][C:17]2[CH:23]=[CH:24][C:14]([C:11]3([C:9]([NH:8][C:6]4[N:7]=[C:2]([C:33]5[CH:32]=[CH:31][N:30]=[C:29]([O:28][CH3:27])[CH:34]=5)[C:3]([CH3:26])=[C:4]([CH3:25])[CH:5]=4)=[O:10])[CH2:13][CH2:12]3)=[CH:15][C:16]=2[O:20]1 |f:3.4.5|	1	COCCOC.OB(O)[c:5]1[cH:4][c:3]([O:2][CH3:1])[n:33][cH:32][cH:31]1.Cl[c:6]1[n:7][c:8]([NH:9][C:10](=[O:11])[C:12]2([c:13]3[cH:14][cH:15][c:16]4[c:17]([cH:18]3)[O:19][C:20]([F:21])([F:22])[O:23]4)[CH2:24][CH2:25]2)[cH:26][c:27]([CH3:28])[c:29]1[CH3:30].O=C([O-])[O-].[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>>[CH3:1][O:2][c:3]1[cH:4][c:5](-[c:6]2[n:7][c:8]([NH:9][C:10](=[O:11])[C:12]3([c:13]4[cH:14][cH:15][c:16]5[c:17]([cH:18]4)[O:19][C:20]([F:21])([F:22])[O:23]5)[CH2:24][CH2:25]3)[cH:26][c:27]([CH3:28])[c:29]2[CH3:30])[cH:31][cH:32][n:33]1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](Cl)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.[Cl:18][C:19]1[N:24]=[C:23]([NH2:25])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]>CCN(CC)CC.ClCCl>[Cl:18][C:19]1[N:24]=[C:23]([NH:25][C:14]([C:11]2([C:9]3[CH:8]=[CH:7][C:5]4[O:6][C:2]([F:17])([F:1])[O:3][C:4]=4[CH:10]=3)[CH2:13][CH2:12]2)=[O:15])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]	1	CCN(CC)CC.[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[n:22][c:23]([Cl:24])[c:25]1[CH3:26].ClCCl.Cl[C:6](=[O:7])[C:8]1([c:9]2[cH:10][cH:11][c:12]3[c:13]([cH:14]2)[O:15][C:16]([F:17])([F:18])[O:19]3)[CH2:20][CH2:21]1>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][C:6](=[O:7])[C:8]2([c:9]3[cH:10][cH:11][c:12]4[c:13]([cH:14]3)[O:15][C:16]([F:17])([F:18])[O:19]4)[CH2:20][CH2:21]2)[n:22][c:23]([Cl:24])[c:25]1[CH3:26]
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](O)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.S(Cl)([Cl:20])=O>CN(C)C=O>[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14]([Cl:20])=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1	1	CN(C)C=O.O[C:2](=[O:1])[C:4]1([c:5]2[cH:6][cH:7][c:8]3[c:9]([cH:10]2)[O:11][C:12]([F:13])([F:14])[O:15]3)[CH2:16][CH2:17]1.O=S(Cl)[Cl:3]>>[O:1]=[C:2]([Cl:3])[C:4]1([c:5]2[cH:6][cH:7][c:8]3[c:9]([cH:10]2)[O:11][C:12]([F:13])([F:14])[O:15]3)[CH2:16][CH2:17]1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[Cl:1][C:2]1[N:7]=[C:6]([N:8]2C(=O)C3C(=CC=CC=3)C2=O)[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]>CO.N.O>[Cl:1][C:2]1[N:7]=[C:6]([NH2:8])[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]	1	CO.O=C1c2ccccc2C(=O)[N:5]1[c:4]1[cH:3][c:2]([CH3:1])[c:9]([CH3:10])[c:7]([Cl:8])[n:6]1.N.O>>[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[n:6][c:7]([Cl:8])[c:9]1[CH3:10]
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[O:1]=[C:2]1[C:10]2[C:5](=[CH:6][CH:7]=[CH:8][CH:9]=2)[C:4](=[O:11])[N:3]1[C:12]1[CH:17]=[C:16]([CH3:18])[C:15]([CH3:19])=[CH:14][N+:13]=1[O-].O=P(Cl)(Cl)[Cl:35]>CCN(CC)CC.[Na+].C([O-])(O)=O>[Cl:35][C:14]1[N:13]=[C:12]([N:3]2[C:2](=[O:1])[C:10]3[C:5](=[CH:6][CH:7]=[CH:8][CH:9]=3)[C:4]2=[O:11])[CH:17]=[C:16]([CH3:18])[C:15]=1[CH3:19] |f:3.4|	1	CCN(CC)CC.[O-][n+:16]1[c:4]([N:5]2[C:6](=[O:7])[c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[C:14]2=[O:15])[cH:3][c:2]([CH3:1])[c:19]([CH3:20])[cH:17]1.O=C([O-])O.O=P(Cl)(Cl)[Cl:18].[Na+]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[C:14]2=[O:15])[n:16][c:17]([Cl:18])[c:19]1[CH3:20]
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[CH3:1][C:2]1[C:7]([CH3:8])=[CH:6][N:5]=[C:4]([N:9]2[C:17](=[O:18])[C:16]3[C:11](=[CH:12][CH:13]=[CH:14][CH:15]=3)[C:10]2=[O:19])[CH:3]=1.C1C=C(Cl)C=C(C(OO)=[O:28])C=1>C(Cl)Cl>[O:18]=[C:17]1[C:16]2[C:11](=[CH:12][CH:13]=[CH:14][CH:15]=2)[C:10](=[O:19])[N:9]1[C:4]1[CH:3]=[C:2]([CH3:1])[C:7]([CH3:8])=[CH:6][N+:5]=1[O-:28]	1	[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[C:14]2=[O:15])[n:16][cH:18][c:19]1[CH3:20].ClCCl.O=C(O[OH:17])c1cccc(Cl)c1>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[C:14]2=[O:15])[n+:16]([O-:17])[cH:18][c:19]1[CH3:20]
DBQFEMRSLALWEZ-UHFFFAOYSA-N	Cl[C:2]1[N:7]=[C:6]([NH:8][C:9]([C:11]2([C:14]3[CH:24]=[CH:23][C:17]4[O:18][C:19]([F:22])([F:21])[O:20][C:16]=4[CH:15]=3)[CH2:13][CH2:12]2)=[O:10])[CH:5]=[C:4]([CH3:25])[C:3]=1[CH3:26].[CH3:27][O:28][C:29]1[CH:34]=[C:33](B(O)O)[CH:32]=[CH:31][N:30]=1>C1C=CC([P]([Pd]([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)[P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)=CC=1.[Na+].[Na+].C([O-])([O-])=O.COCCOC>[F:21][C:19]1([F:22])[O:18][C:17]2[CH:23]=[CH:24][C:14]([C:11]3([C:9]([NH:8][C:6]4[N:7]=[C:2]([C:33]5[CH:32]=[CH:31][N:30]=[C:29]([O:28][CH3:27])[CH:34]=5)[C:3]([CH3:26])=[C:4]([CH3:25])[CH:5]=4)=[O:10])[CH2:13][CH2:12]3)=[CH:15][C:16]=2[O:20]1 |f:3.4.5|	2	COCCOC.OB(O)[c:5]1[cH:4][c:3]([O:2][CH3:1])[n:33][cH:32][cH:31]1.Cl[c:6]1[n:7][c:8]([NH:9][C:10](=[O:11])[C:12]2([c:13]3[cH:14][cH:15][c:16]4[c:17]([cH:18]3)[O:19][C:20]([F:21])([F:22])[O:23]4)[CH2:24][CH2:25]2)[cH:26][c:27]([CH3:28])[c:29]1[CH3:30].O=C([O-])[O-].[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>>[CH3:1][O:2][c:3]1[cH:4][c:5](-[c:6]2[n:7][c:8]([NH:9][C:10](=[O:11])[C:12]3([c:13]4[cH:14][cH:15][c:16]5[c:17]([cH:18]4)[O:19][C:20]([F:21])([F:22])[O:23]5)[CH2:24][CH2:25]3)[cH:26][c:27]([CH3:28])[c:29]2[CH3:30])[cH:31][cH:32][n:33]1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](Cl)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.[Cl:18][C:19]1[N:24]=[C:23]([NH2:25])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]>CCN(CC)CC.ClCCl>[Cl:18][C:19]1[N:24]=[C:23]([NH:25][C:14]([C:11]2([C:9]3[CH:8]=[CH:7][C:5]4[O:6][C:2]([F:17])([F:1])[O:3][C:4]=4[CH:10]=3)[CH2:13][CH2:12]2)=[O:15])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]	2	CCN(CC)CC.[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[n:22][c:23]([Cl:24])[c:25]1[CH3:26].ClCCl.Cl[C:6](=[O:7])[C:8]1([c:9]2[cH:10][cH:11][c:12]3[c:13]([cH:14]2)[O:15][C:16]([F:17])([F:18])[O:19]3)[CH2:20][CH2:21]1>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][C:6](=[O:7])[C:8]2([c:9]3[cH:10][cH:11][c:12]4[c:13]([cH:14]3)[O:15][C:16]([F:17])([F:18])[O:19]4)[CH2:20][CH2:21]2)[n:22][c:23]([Cl:24])[c:25]1[CH3:26]
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](O)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.O=S(Cl)[Cl:20]>C1(C)C=CC=CC=1>[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14]([Cl:20])=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1	2	Cc1ccccc1.O[C:2](=[O:1])[C:4]1([c:5]2[cH:6][cH:7][c:8]3[c:9]([cH:10]2)[O:11][C:12]([F:13])([F:14])[O:15]3)[CH2:16][CH2:17]1.O=S(Cl)[Cl:3]>>[O:1]=[C:2]([Cl:3])[C:4]1([c:5]2[cH:6][cH:7][c:8]3[c:9]([cH:10]2)[O:11][C:12]([F:13])([F:14])[O:15]3)[CH2:16][CH2:17]1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[Cl:1][C:2]1[N:7]=[C:6]([N:8]2C(=O)C3C(=CC=CC=3)C2=O)[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]>CO.N.O>[Cl:1][C:2]1[N:7]=[C:6]([NH2:8])[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]	2	CO.O=C1c2ccccc2C(=O)[N:5]1[c:4]1[cH:3][c:2]([CH3:1])[c:9]([CH3:10])[c:7]([Cl:8])[n:6]1.N.O>>[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[n:6][c:7]([Cl:8])[c:9]1[CH3:10]
