tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
YWPHDFINYPQZQN-UHFFFAOYSA-N	[NH2:50][CH2:51][C:52]1([OH:67])[CH2:57][CH2:56][N:55]([C:58]([C:60]2[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=2)=[O:59])[CH2:54][CH2:53]1.[NH2:1][N:2]1[C:6]([C:7]([OH:9])=O)=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1>CN(C(ON1N=NC2C=CC=NC1=2)=[N+](C)C)C.F[P-](F)(F)(F)(F)F.CCN(C(C)C)C(C)C.CN(C=O)C.O>[NH2:1][N:2]1[C:6]([C:7]([NH:50][CH2:51][C:52]2([OH:67])[CH2:57][CH2:56][N:55]([C:58](=[O:59])[C:60]3[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=3)[CH2:54][CH2:53]2)=[O:9])=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1 |f:2.3|	1	CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F.[NH2:6][CH2:7][C:8]1([OH:9])[CH2:10][CH2:11][N:12]([C:13](=[O:14])[c:15]2[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]2)[CH2:22][CH2:23]1.O[C:4]([c:3]1[n:2]([NH2:1])[c:26](-[c:27]2[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]2)[n:25][cH:24]1)=[O:5].O>>[NH2:1][n:2]1[c:3]([C:4](=[O:5])[NH:6][CH2:7][C:8]2([OH:9])[CH2:10][CH2:11][N:12]([C:13](=[O:14])[c:15]3[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]3)[CH2:22][CH2:23]2)[cH:24][n:25][c:26]1-[c:27]1[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:9][C:10]1[CH:24]=[CH:23][C:13]([C:14]([N:16]2[CH2:21][CH2:20][C:19](=[O:22])[CH2:18][CH2:17]2)=[O:15])=[CH:12][CH:11]=1.[CH3:2][S+](C)(C)=O.[I-]>CS(C)=O.[Na+].[H-]>[F:9][C:10]1[CH:24]=[CH:23][C:13]([C:14]([N:16]2[CH2:17][CH2:18][C:19]3([O:22][CH2:2]3)[CH2:20][CH2:21]2)=[O:15])=[CH:12][CH:11]=1 |f:1.2,4.5|	1	CS(C)=O.C[S+](C)(=O)[CH3:16].[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][cH:9]1)[N:10]1[CH2:11][CH2:12][C:13](=[O:17])[CH2:14][CH2:15]1.[H-].[I-].[Na+]>>[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][cH:9]1)[N:10]1[CH2:11][CH2:12][C:13]2([CH2:14][CH2:15]1)[CH2:16][O:17]2
YWPHDFINYPQZQN-UHFFFAOYSA-N	FC(F)(F)C(O)=O.[NH:8]1[CH2:13][CH2:12][C:11](=[O:14])[CH2:10][CH2:9]1.[F:15][C:16]1[CH:24]=[CH:23][C:19]([C:20](O)=[O:21])=[CH:18][CH:17]=1>>[F:15][C:16]1[CH:24]=[CH:23][C:19]([C:20]([N:8]2[CH2:13][CH2:12][C:11](=[O:14])[CH2:10][CH2:9]2)=[O:21])=[CH:18][CH:17]=1 |f:0.1|	1	O=C(O)C(F)(F)F.O[C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]1.[O:1]=[C:2]1[CH2:3][CH2:4][NH:5][CH2:15][CH2:16]1>>[O:1]=[C:2]1[CH2:3][CH2:4][N:5]([C:6](=[O:7])[c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]2)[CH2:15][CH2:16]1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[O:1]=[C:2]1[CH2:7][CH2:6][N:5](C(OC(C)(C)C)=O)[CH2:4][CH2:3]1.[F:15][C:16]([F:21])([F:20])[C:17]([OH:19])=[O:18]>ClCCl>[F:15][C:16]([F:21])([F:20])[C:17]([OH:19])=[O:18].[NH:5]1[CH2:6][CH2:7][C:2](=[O:1])[CH2:3][CH2:4]1 |f:3.4|	1	CC(C)(C)OC(=O)[N:12]1[CH2:11][CH2:10][C:9](=[O:8])[CH2:14][CH2:13]1.ClCCl.[O:1]=[C:2]([OH:3])[C:4]([F:5])([F:6])[F:7]>>[O:1]=[C:2]([OH:3])[C:4]([F:5])([F:6])[F:7].[O:8]=[C:9]1[CH2:10][CH2:11][NH:12][CH2:13][CH2:14]1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]([N:10]2[CH2:17][CH2:16][C:13]3([O:15][CH2:14]3)[CH2:12][CH2:11]2)=[O:9])=[CH:4][CH:3]=1.[NH3:18]>CO>[NH2:18][CH2:14][C:13]1([OH:15])[CH2:16][CH2:17][N:10]([C:8]([C:5]2[CH:6]=[CH:7][C:2]([F:1])=[CH:3][CH:4]=2)=[O:9])[CH2:11][CH2:12]1	1	CO.[NH3:1].[CH2:2]1[C:3]2([O:4]1)[CH2:5][CH2:6][N:7]([C:8](=[O:9])[c:10]1[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]1)[CH2:17][CH2:18]2>>[NH2:1][CH2:2][C:3]1([OH:4])[CH2:5][CH2:6][N:7]([C:8](=[O:9])[c:10]2[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]2)[CH2:17][CH2:18]1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[NH2:1][N:2]1[C:6]([C:7]([O:9]C)=[O:8])=[CH:5][N:4]=[C:3]1[C:11]1[CH:16]=[CH:15][C:14]([F:17])=[CH:13][CH:12]=1>O1CCCC1.[Li+].[OH-].Cl.O>[NH2:1][N:2]1[C:6]([C:7]([OH:9])=[O:8])=[CH:5][N:4]=[C:3]1[C:11]1[CH:16]=[CH:15][C:14]([F:17])=[CH:13][CH:12]=1 |f:2.3|	1	C1CCOC1.C[O:6][C:4]([c:3]1[n:2]([NH2:1])[c:9](-[c:10]2[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]2)[n:8][cH:7]1)=[O:5].Cl.O.[Li+].[OH-]>>[NH2:1][n:2]1[c:3]([C:4](=[O:5])[OH:6])[cH:7][n:8][c:9]1-[c:10]1[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13]([O:15][CH3:16])=[O:14])=[CH:11][N:12]=2)=[CH:4][CH:3]=1.C[N:24](C=O)C>NOP(=O)(C1C=CC=CC=1)C1C=CC=CC=1.[K+].CC(C)([O-])C.O>[NH2:24][N:9]1[C:10]([C:13]([O:15][CH3:16])=[O:14])=[CH:11][N:12]=[C:8]1[C:5]1[CH:4]=[CH:3][C:2]([F:1])=[CH:7][CH:6]=1 |f:3.4|	1	CC(C)(C)[O-].CN(C)C=O.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][n:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[nH:16]1.O=P(O[NH2:17])(c1ccccc1)c1ccccc1.O.[K+]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][n:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1[NH2:17]
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13]([OH:15])=[O:14])=[CH:11][N:12]=2)=[CH:4][CH:3]=1.[CH3:20]O>S(Cl)(Cl)=O>[F:1][C:2]1[CH:3]=[CH:4][C:5]([C:8]2[NH:9][C:10]([C:13]([O:15][CH3:20])=[O:14])=[CH:11][N:12]=2)=[CH:6][CH:7]=1	1	[CH3:1][OH:2].O[C:3](=[O:4])[c:5]1[cH:6][n:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[nH:16]1.O=S(Cl)Cl>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][n:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[nH:16]1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13](F)(F)F)=[CH:11][N:12]=2)=[CH:4][CH:3]=1.[Na+].[OH-:17].[OH2:19]>>[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13]([OH:19])=[O:17])=[CH:11][N:12]=2)=[CH:4][CH:3]=1 |f:1.2|	1	F[C:2](F)(F)[c:4]1[cH:5][n:6][c:7](-[c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]2)[nH:15]1.[OH2:1].[Na+].[OH-:3]>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][n:6][c:7](-[c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]2)[nH:15]1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[NH2:50][CH2:51][C:52]1([OH:67])[CH2:57][CH2:56][N:55]([C:58]([C:60]2[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=2)=[O:59])[CH2:54][CH2:53]1.[NH2:1][N:2]1[C:6]([C:7]([OH:9])=O)=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1>CN(C(ON1N=NC2C=CC=NC1=2)=[N+](C)C)C.F[P-](F)(F)(F)(F)F.CCN(C(C)C)C(C)C.CN(C=O)C.O>[NH2:1][N:2]1[C:6]([C:7]([NH:50][CH2:51][C:52]2([OH:67])[CH2:57][CH2:56][N:55]([C:58](=[O:59])[C:60]3[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=3)[CH2:54][CH2:53]2)=[O:9])=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1 |f:2.3|	2	CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F.[NH2:6][CH2:7][C:8]1([OH:9])[CH2:10][CH2:11][N:12]([C:13](=[O:14])[c:15]2[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]2)[CH2:22][CH2:23]1.O[C:4]([c:3]1[n:2]([NH2:1])[c:26](-[c:27]2[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]2)[n:25][cH:24]1)=[O:5].O>>[NH2:1][n:2]1[c:3]([C:4](=[O:5])[NH:6][CH2:7][C:8]2([OH:9])[CH2:10][CH2:11][N:12]([C:13](=[O:14])[c:15]3[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]3)[CH2:22][CH2:23]2)[cH:24][n:25][c:26]1-[c:27]1[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]1
