tm_inchikey	rxsmiles	route_index
FVAMQHWKQOJRPM-PMERELPUSA-N	I[C:2]1[CH:7]=[CH:6][C:5]([N:8]2[CH2:13][CH2:12][CH2:11][C@H:10]([N:14]3[CH2:19][CH2:18][CH:17]([CH3:20])[CH2:16][CH2:15]3)[CH2:9]2)=[CH:4][CH:3]=1.[Cl:21][C:22]1[CH:27]=[CH:26][C:25]([C:28]2[CH:29]=[CH:30][C:31]([C:34]#[CH:35])=[N:32][CH:33]=2)=[CH:24][CH:23]=1>>[Cl:21][C:22]1[CH:23]=[CH:24][C:25]([C:28]2[CH:29]=[CH:30][C:31]([C:34]#[C:35][C:2]3[CH:7]=[CH:6][C:5]([N:8]4[CH2:13][CH2:12][CH2:11][C@H:10]([N:14]5[CH2:19][CH2:18][CH:17]([CH3:20])[CH2:16][CH2:15]5)[CH2:9]4)=[CH:4][CH:3]=3)=[N:32][CH:33]=2)=[CH:26][CH:27]=1	1
FVAMQHWKQOJRPM-PMERELPUSA-N	[Cl:19][C:20]1[CH:25]=[CH:24][C:23]([C:26]2[CH:27]=[CH:28][C:29]([C:32]#[C:33][Si](C)(C)C)=[N:30][CH:31]=2)=[CH:22][CH:21]=1>CCCC[N+](CCCC)(CCCC)CCCC.[F-].C(Cl)Cl.O>[Cl:19][C:20]1[CH:21]=[CH:22][C:23]([C:26]2[CH:27]=[CH:28][C:29]([C:32]#[CH:33])=[N:30][CH:31]=2)=[CH:24][CH:25]=1 |f:1.2|	1
FVAMQHWKQOJRPM-PMERELPUSA-N	[Cl:14][C:15]1[CH:20]=[CH:19][C:18]([C:21]2[CH:22]=[CH:23][C:24](I)=[N:25][CH:26]=2)=[CH:17][CH:16]=1.[C:8]([Si:10]([CH3:13])([CH3:12])[CH3:11])#[CH:9]>[Fe+2].Cl[Pd]Cl.C1C=CC(P(C2C=CC=CC=2)[C-]2C=CC=C2)=CC=1.C1C=CC(P(C2C=CC=CC=2)[C-]2C=CC=C2)=CC=1.C(N(CC)CC)C.C1COCC1.C(#N)C>[Cl:14][C:15]1[CH:16]=[CH:17][C:18]([C:21]2[CH:22]=[CH:23][C:24]([C:9]#[C:8][Si:10]([CH3:13])([CH3:12])[CH3:11])=[N:25][CH:26]=2)=[CH:19][CH:20]=1 |f:2.3.4.5|	1
FVAMQHWKQOJRPM-PMERELPUSA-N	[Cl:10][C:11]1[CH:16]=[CH:15][C:14]([C:17]2[CH:18]=[CH:19][C:20](N)=[N:21][CH:22]=2)=[CH:13][CH:12]=1.[I:8]I>C(ON=O)(C)(C)C.CCOC(C)=O.C(Cl)(Cl)(Cl)Cl.C(Cl)Cl.O>[Cl:10][C:11]1[CH:16]=[CH:15][C:14]([C:17]2[CH:18]=[CH:19][C:20]([I:8])=[N:21][CH:22]=2)=[CH:13][CH:12]=1	1
FVAMQHWKQOJRPM-PMERELPUSA-N	[Cl:15][C:16]1[CH:21]=[CH:20][C:19](OB(O)O)=[CH:18][CH:17]=1.[NH2:7][C:8]1[CH:13]=[CH:12][C:11](Br)=[CH:10][N:9]=1>[Na+].[Na+].C([O-])([O-])=O.O1CCOCC1.CCOC(C)=O.CO.O>[Cl:15][C:16]1[CH:21]=[CH:20][C:19]([C:11]2[CH:12]=[CH:13][C:8]([NH2:7])=[N:9][CH:10]=2)=[CH:18][CH:17]=1 |f:2.3.4|	1
FVAMQHWKQOJRPM-PMERELPUSA-N	[B:6]([O:15][CH:16]([CH3:18])[CH3:17])([O:11]C(C)C)[O:7]C(C)C.[Li][CH2:2][CH2:3][CH2:4]C.[ClH:19]>C1(C)C=CC=CC=1.C1COCC1.O>[Cl:19][C:3]1[CH:4]=[CH:17][C:16]([O:15][B:6]([OH:7])[OH:11])=[CH:18][CH:2]=1	1
FVAMQHWKQOJRPM-PMERELPUSA-N	I[C:2]1[CH:7]=[CH:6][C:5]([N:8]2[CH2:13][CH2:12][CH2:11][C@H:10]([N:14]3[CH2:19][CH2:18][CH:17]([CH3:20])[CH2:16][CH2:15]3)[CH2:9]2)=[CH:4][CH:3]=1.[Cl:21][C:22]1[CH:27]=[CH:26][C:25]([C:28]2[CH:29]=[CH:30][C:31]([C:34]#[CH:35])=[N:32][CH:33]=2)=[CH:24][CH:23]=1>>[Cl:21][C:22]1[CH:23]=[CH:24][C:25]([C:28]2[CH:29]=[CH:30][C:31]([C:34]#[C:35][C:2]3[CH:7]=[CH:6][C:5]([N:8]4[CH2:13][CH2:12][CH2:11][C@H:10]([N:14]5[CH2:19][CH2:18][CH:17]([CH3:20])[CH2:16][CH2:15]5)[CH2:9]4)=[CH:4][CH:3]=3)=[N:32][CH:33]=2)=[CH:26][CH:27]=1	2
FVAMQHWKQOJRPM-PMERELPUSA-N	[B:16]([O:25]C(C)C)([O:21]C(C)C)[O:17]C(C)C.Br[C:2]1[CH:7]=[CH:6][C:5]([Cl:8])=[CH:4][CH:3]=1>C1(C)C=CC=CC=1.C([Li])CCC.O1CCCC1>[Cl:8][C:5]1[CH:6]=[CH:7][C:2]([O:17][B:16]([OH:25])[OH:21])=[CH:3][CH:4]=1	2
FVAMQHWKQOJRPM-PMERELPUSA-N	[Si]([C:26]#[C:27][C:28]1[CH:33]=[CH:32][C:31]([C:34]2[CH:39]=[CH:38][C:37]([Cl:40])=[CH:36][CH:35]=2)=[CH:30][N:29]=1)(C(C)(C)C)(C)C>CCCC[N+](CCCC)(CCCC)CCCC.[F-].C(Cl)Cl>[Cl:40][C:37]1[CH:36]=[CH:35][C:34]([C:31]2[CH:32]=[CH:33][C:28]([C:27]#[CH:26])=[N:29][CH:30]=2)=[CH:39][CH:38]=1 |f:1.2|	2
FVAMQHWKQOJRPM-PMERELPUSA-N	Br[C:10]1[CH:11]=[CH:12][C:13]([C:16]#[C:17][Si:18]([C:21]([CH3:24])([CH3:23])[CH3:22])([CH3:20])[CH3:19])=[N:14][CH:15]=1.[Cl:25][C:26]1[CH:31]=[CH:30][C:29](OB(O)O)=[CH:28][CH:27]=1>[Fe+2].Cl[Pd]Cl.C1C=CC(P(C2C=CC=CC=2)[C-]2C=CC=C2)=CC=1.C1C=CC(P(C2C=CC=CC=2)[C-]2C=CC=C2)=CC=1.[Na+].[Na+].C(=O)([O-])[O-].O1CCOCC1.CO>[Si:18]([C:17]#[C:16][C:13]1[CH:12]=[CH:11][C:10]([C:29]2[CH:30]=[CH:31][C:26]([Cl:25])=[CH:27][CH:28]=2)=[CH:15][N:14]=1)([C:21]([CH3:24])([CH3:23])[CH3:22])([CH3:20])[CH3:19] |f:2.3.4.5,6.7.8|	2
