rxsmiles	yield	rxid	route_index	boya_aggregated_yield	tm_inchikey
[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6](O)=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14].C[N:18](C=O)C>C(Cl)(=O)C(Cl)=O.C1COCC1>[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:18])=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14]	62.29	ASPIRE-1866763282206552993	1	18.35556179198567	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([O:8]C)=[O:7])=[CH:4][C:3]=1[O:12][CH2:13][C:14]([F:17])([F:16])[F:15]>C1COCC1.[Li+].[OH-].CO.Cl.O>[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([OH:8])=[O:7])=[CH:4][C:3]=1[O:12][CH2:13][C:14]([F:15])([F:17])[F:16] |f:2.3|	71.26	ASPIRE-7917484465882483005	1	18.35556179198567	CFRDJNOBCVXNRR-UHFFFAOYSA-N
FC(F)(F)S(O[CH2:25][C:26]([F:29])([F:28])[F:27])(=O)=O.[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([O:8][CH3:9])=[O:7])=[CH:4][C:3]=1[OH:12]>[K+].[K+].C(=O)([O-])[O-].CN(C=O)C.C(#N)C>[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([O:8][CH3:9])=[O:7])=[CH:4][C:3]=1[O:12][CH2:25][C:26]([F:29])([F:28])[F:27] |f:2.3.4|	60.34	ASPIRE-1424026709690873318	1	18.35556179198567	CFRDJNOBCVXNRR-UHFFFAOYSA-N
N[C:2]1[CH:11]=[CH:10][C:5]([C:6]([O:8][CH3:9])=[O:7])=[CH:4][C:3]=1[OH:12].[Na+].[Br-:17]>[Cu+2].O.O.O.O.O.S([O-])([O-])(=O)=O.[Na+].[Na+].S([O-])([O-])=O.[Na+].N([O-])=O.O>[CH3:9][O:8][C:6](=[O:7])[C:5]1[CH:10]=[CH:11][C:2]([Br:17])=[C:3]([OH:12])[CH:4]=1 |f:1.2,3.4.5.6.7.8.9,10.11.12,13.14|	65.5	ASPIRE-4320561659319813651	1	18.35556179198567	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[O:16](S(C(F)(F)F)(=O)=O)[S:17]([C:20]([F:23])([F:22])[F:21])(=O)=[O:18].[F:1][C:2]([F:6])([F:5])[CH2:3][OH:4]>N1C=CC=CC=1.C(Cl)Cl.O>[F:1][C:2]([F:6])([F:5])[CH2:3][O:4][S:17]([C:20]([F:23])([F:22])[F:21])(=[O:18])=[O:16]	71.86	ASPIRE-3268333563191583305	1	18.35556179198567	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6](O)=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14].C[N:18](C=O)C>C(Cl)(=O)C(Cl)=O.C1COCC1>[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:18])=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14]	62.29	ASPIRE-1866763282206552993	2	21.173442460815608	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([O:8]C)=[O:7])=[CH:4][C:3]=1[O:12][CH2:13][C:14]([F:17])([F:16])[F:15]>C1COCC1.[Li+].[OH-].CO.Cl.O>[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([OH:8])=[O:7])=[CH:4][C:3]=1[O:12][CH2:13][C:14]([F:15])([F:17])[F:16] |f:2.3|	71.26	ASPIRE-7917484465882483005	2	21.173442460815608	CFRDJNOBCVXNRR-UHFFFAOYSA-N
C1(C)C=CC(S(O[CH2:11][C:12]([F:15])([F:14])[F:13])(=O)=O)=CC=1.[Br:17][C:18]1[CH:27]=[CH:26][C:21]([C:22]([O:24][CH3:25])=[O:23])=[CH:20][C:19]=1[OH:28]>[K+].[K+].C(=O)([O-])[O-].CN(C)C=O>[Br:17][C:18]1[CH:27]=[CH:26][C:21]([C:22]([O:24][CH3:25])=[O:23])=[CH:20][C:19]=1[O:28][CH2:11][C:12]([F:15])([F:14])[F:13] |f:2.3.4|	65.42	ASPIRE-4104682691777632982	2	21.173442460815608	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[C:1]1([CH3:11])[CH:6]=[CH:5][C:4]([S:7](Cl)(=[O:9])=[O:8])=[CH:3][CH:2]=1.[F:12][C:13]([F:17])([F:16])[CH2:14][OH:15]>C(N(CC)CC)C.ClCCl>[F:12][C:13]([F:17])([F:16])[CH2:14][O:15][S:7]([C:4]1[CH:5]=[CH:6][C:1]([CH3:11])=[CH:2][CH:3]=1)(=[O:9])=[O:8]	76.61	ASPIRE-0253090145147437664	2	21.173442460815608	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][C:3]=1[OH:11].[Na+].[Na+].[C:17](=O)([O-])[O-]>S(=O)(=O)(O)O.CO>[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([O:8][CH3:17])=[O:7])=[CH:4][C:3]=1[OH:11] |f:1.2.3|	69.56	ASPIRE-8668063574969721443	2	21.173442460815608	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6](O)=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14].C[N:18](C=O)C>C(Cl)(=O)C(Cl)=O.C1COCC1>[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:18])=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14]	62.29	ASPIRE-1866763282206552993	3	21.080542868186665	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([O:8]C)=[O:7])=[CH:4][C:3]=1[O:12][CH2:13][C:14]([F:17])([F:16])[F:15]>C1COCC1.[Li+].[OH-].CO.Cl.O>[Br:1][C:2]1[CH:11]=[CH:10][C:5]([C:6]([OH:8])=[O:7])=[CH:4][C:3]=1[O:12][CH2:13][C:14]([F:15])([F:17])[F:16] |f:2.3|	71.26	ASPIRE-7917484465882483005	3	21.080542868186665	CFRDJNOBCVXNRR-UHFFFAOYSA-N
C1(C)C=CC(S(O[CH2:11][C:12]([F:15])([F:14])[F:13])(=O)=O)=CC=1.[Br:17][C:18]1[CH:27]=[CH:26][C:21]([C:22]([O:24][CH3:25])=[O:23])=[CH:20][C:19]=1[OH:28]>[K+].[K+].C(=O)([O-])[O-].CN(C)C=O>[Br:17][C:18]1[CH:27]=[CH:26][C:21]([C:22]([O:24][CH3:25])=[O:23])=[CH:20][C:19]=1[O:28][CH2:11][C:12]([F:15])([F:14])[F:13] |f:2.3.4|	65.42	ASPIRE-4104682691777632982	3	21.080542868186665	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[C:1]1([CH3:11])[CH:6]=[CH:5][C:4]([S:7](Cl)(=[O:9])=[O:8])=[CH:3][CH:2]=1.[F:12][C:13]([F:17])([F:16])[CH2:14][OH:15]>C(N(CC)CC)C.ClCCl>[F:12][C:13]([F:17])([F:16])[CH2:14][O:15][S:7]([C:4]1[CH:5]=[CH:6][C:1]([CH3:11])=[CH:2][CH:3]=1)(=[O:9])=[O:8]	76.61	ASPIRE-0253090145147437664	3	21.080542868186665	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][C:3]=1[OH:11].[CH3:12]O>OS(O)(=O)=O>[CH3:12][O:7][C:6](=[O:8])[C:5]1[CH:9]=[CH:10][C:2]([Br:1])=[C:3]([OH:11])[CH:4]=1	68.98	ASPIRE-2659147527968775136	3	21.080542868186665	CFRDJNOBCVXNRR-UHFFFAOYSA-N
[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6](O)=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14].C[N:18](C=O)C>C(Cl)(=O)C(Cl)=O.C1COCC1>[Br:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([NH2:18])=[O:7])=[CH:4][C:3]=1[O:11][CH2:12][C:13]([F:16])([F:15])[F:14]	62.29	ASPIRE-1866763282206552993	4	21.509923580492877	CFRDJNOBCVXNRR-UHFFFAOYSA-N
